COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 3686 472 118 8162
ANTELOPE 678 84 44 2562
ARTHUR 26 6 5 235
BANNER 65 2 5 390
BLAINE 43 5 2 299
BOONE 575 65 26 2196
"BOX BUTTE" 1614 203 64 3208
BOYD 265 25 21 931
BROWN 250 36 23 1375
BUFFALO 3927 483 120 11931
BURT 1223 73 40 2056
BUTLER 1028 108 54 2638
CASS 3656 369 111 6144
CEDAR 1062 140 78 2989
CHASE 306 38 26 1505
CHERRY 446 50 29 2322
CHEYENNE 844 76 59 3207
CLAY 774 86 29 2326
COLFAX 863 72 42 2338
CUMING 857 91 35 3232
CUSTER 976 140 53 4245
DAKOTA 2695 141 106 3119
DAWES 823 212 37 2549
DAWSON 1740 143 113 5511
DEUEL 213 27 10 783
DIXON 820 60 78 1834
DODGE 5021 443 137 8871
DOUGLAS 73347 7109 1675 101025
DUNDY 179 19 12 801
FILLMORE 848 103 23 2024
FRANKLIN 420 36 16 1196
FRONTIER 244 27 20 1102
FURNAS 534 29 19 1849
GAGE 3516 355 97 5538
GARDEN 203 38 15 963
GARFIELD 202 33 10 718
GOSPER 228 19 10 757
GRANT 49 10 2 324
GREELEY 416 37 18 839
HALL 5952 595 196 11803
HAMILTON 1066 141 33 3251
HARLAN 438 37 19 1358
HAYES 66 8 11 486
HITCHCOCK 312 21 21 1126
HOLT 846 93 66 3954
HOOKER 74 13 5 317
HOWARD 955 71 41 1760
JEFFERSON 1361 102 33 2351
JOHNSON 794 74 34 1210
KEARNEY 680 75 34 2333
KEITH 778 75 43 2953
"KEYA PAHA" 78 6 7 422
KIMBALL 379 41 21 1379
KNOX 1037 110 47 2784
LANCASTER 44650 6182 786 55514
LINCOLN 5205 502 187 9220
LOGAN 60 11 5 336
LOUP 84 7 3 284
MADISON 2772 290 155 9636
MCPHERSON 48 1 8 244
MERRICK 848 84 28 2380
MORRILL 460 46 35 1597
"NANCE" 497 46 17 1105
NEMAHA 1063 94 35 2177
NUCKOLLS 644 66 32 1701
OTOE 2208 218 58 4178
PAWNEE 522 38 22 937
PERKINS 243 31 8 1170
PHELPS 934 86 32 3575
PIERCE 570 52 52 2534
PLATTE 2612 266 120 9861
POLK 610 52 26 1925
"RED WILLOW" 1188 103 54 3680
RICHARDSON 1382 83 62 2623
ROCK 141 17 11 725
SALINE 2321 187 56 2581
SARPY 14637 1308 354 28979
SAUNDERS 2852 277 102 5688
"SCOTTS BLUFF" 3937 400 105 9397
SEWARD 2250 245 64 4457
SHERIDAN 392 54 25 2105
SHERMAN 564 48 21 1072
SIOUX 98 18 7 629
STANTON 500 53 38 1895
THAYER 821 65 24 2096
THOMAS 55 9 2 329
THURSTON 924 56 62 1040
VALLEY 583 45 25 1610
WASHINGTON 2550 234 84 5758
WAYNE 1001 119 46 2774
WEBSTER 584 48 11 1302
WHEELER 85 11 6 351
YORK 1407 161 76 4816
