COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ADAMS 3302 924 9287
ANTELOPE 383 166 2732
ARTHUR 17 12 244
BANNER 19 26 357
BLAINE 30 11 276
BOONE 414 192 2299
"BOX BUTTE" 965 342 3617
BOYD 128 45 983
BROWN 153 59 1385
BUFFALO 4763 1797 14569
BURT 930 261 2367
BUTLER 691 211 3079
CASS 3484 997 8452
CEDAR 571 317 3532
CHASE 171 79 1648
CHERRY 317 178 2623
CHEYENNE 711 335 3665
CLAY 477 166 2422
COLFAX 859 184 2171
CUMING 719 233 3122
CUSTER 641 316 4695
DAKOTA 2314 349 3616
DAWES 801 243 2632
DAWSON 2136 515 5984
DEUEL 120 55 809
DIXON 556 185 2041
DODGE 4544 1052 9933
DOUGLAS 113798 18558 108077
DUNDY 89 41 823
FILLMORE 613 198 2130
FRANKLIN 250 76 1347
FRONTIER 161 57 1110
FURNAS 304 115 1921
GAGE 2935 733 6380
GARDEN 153 53 869
GARFIELD 121 38 821
GOSPER 166 50 794
GRANT 20 18 367
GREELEY 210 53 912
HALL 6282 1370 14408
HAMILTON 878 343 3783
HARLAN 254 82 1496
HAYES 30 12 472
HITCHCOCK 161 75 1232
HOLT 531 233 4354
HOOKER 40 22 355
HOWARD 544 166 2284
JEFFERSON 837 258 2399
JOHNSON 563 171 1355
KEARNEY 550 215 2531
KEITH 571 228 3235
"KEYA PAHA" 40 19 460
KIMBALL 230 117 1330
KNOX 720 207 3188
LANCASTER 61898 12737 61588
LINCOLN 2913 1054 12164
LOGAN 32 21 400
LOUP 48 14 323
MADISON 2711 1004 10628
MCPHERSON 14 16 257
MERRICK 602 260 2926
MORRILL 284 123 1802
"NANCE" 281 79 1261
NEMAHA 785 260 2116
NUCKOLLS 353 126 1726
OTOE 2025 572 4860
PAWNEE 279 74 974
PERKINS 161 77 1217
PHELPS 572 274 3849
PIERCE 382 196 3052
PLATTE 2646 822 10965
POLK 413 141 2028
"RED WILLOW" 645 267 4258
RICHARDSON 818 218 2769
ROCK 70 41 687
SALINE 1733 399 3004
SARPY 28033 7404 45143
SAUNDERS 2523 782 7555
"SCOTTS BLUFF" 3207 1034 10076
SEWARD 1875 593 5454
SHERIDAN 287 110 2211
SHERMAN 340 83 1150
SIOUX 81 39 616
STANTON 417 197 2187
THAYER 499 140 2051
THOMAS 30 19 344
THURSTON 919 126 1043
VALLEY 339 86 1780
WASHINGTON 2623 785 7424
WAYNE 835 248 2693
WEBSTER 306 72 1330
WHEELER 62 26 377
YORK 1186 495 4700
