COUNTY DEM LIB REP
COUNTY Biden_D Jorgensen_L Trump_R
ADAMS 4213 304 10085
ANTELOPE 452 38 3093
ARTHUR 21 3 260
BANNER 43 5 362
BLAINE 35 2 280
BOONE 499 65 2653
"BOX BUTTE" 1051 128 4002
BOYD 135 8 1010
BROWN 191 18 1470
BUFFALO 6350 599 16640
BURT 1063 88 2580
BUTLER 873 83 3542
CASS 4737 426 10121
CEDAR 725 97 4174
CHASE 226 27 1740
CHERRY 373 48 2844
CHEYENNE 855 97 3813
CLAY 632 78 2848
COLFAX 1025 56 2636
CUMING 870 74 3507
CUSTER 786 117 5090
DAKOTA 2744 124 3926
DAWES 1082 108 2931
DAWSON 2497 157 6524
DEUEL 141 20 871
DIXON 651 97 2335
DODGE 5544 348 10984
DOUGLAS 150350 5442 119159
DUNDY 105 11 883
FILLMORE 693 82 2359
FRANKLIN 276 11 1437
FRONTIER 189 22 1229
FURNAS 399 39 2163
GAGE 3385 238 7445
GARDEN 161 18 1016
GARFIELD 133 9 933
GOSPER 215 10 893
GRANT 20 7 375
GREELEY 229 13 1016
HALL 7681 504 16189
HAMILTON 1118 106 4309
HARLAN 282 31 1615
HAYES 34 6 494
HITCHCOCK 175 30 1264
HOLT 686 82 4769
HOOKER 59 7 376
HOWARD 648 67 2786
JEFFERSON 1016 84 2616
JOHNSON 647 64 1518
KEARNEY 701 81 2822
KEITH 763 57 3544
"KEYA PAHA" 49 4 476
KIMBALL 268 43 1563
KNOX 905 71 3721
LANCASTER 82293 3706 70092
LINCOLN 3692 344 13071
LOGAN 38 5 407
LOUP 75 9 370
MADISON 3478 347 11940
MCPHERSON 17 10 275
MERRICK 743 95 3419
MORRILL 386 58 2113
"NANCE" 359 32 1437
NEMAHA 921 74 2428
NUCKOLLS 409 37 1857
OTOE 2490 176 5649
PAWNEE 322 36 1071
PERKINS 199 24 1321
PHELPS 752 100 4157
PIERCE 480 64 3462
PLATTE 3260 227 12186
POLK 530 58 2291
"RED WILLOW" 811 116 4525
RICHARDSON 996 57 3073
ROCK 84 13 744
SALINE 1986 153 3631
SARPY 41206 2488 51979
SAUNDERS 3331 296 9108
"SCOTTS BLUFF" 4196 321 10952
SEWARD 2438 214 6490
SHERIDAN 340 40 2292
SHERMAN 343 33 1322
SIOUX 72 15 642
STANTON 532 68 2561
THAYER 624 48 2308
THOMAS 45 5 377
THURSTON 1122 23 1180
VALLEY 412 27 1901
WASHINGTON 3554 276 8583
WAYNE 1022 123 3055
WEBSTER 335 30 1511
WHEELER 59 5 438
YORK 1630 176 5337
