COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ATLANTIC 52880 2188 441 35593
BERGEN 202682 9688 1620 152731
BURLINGTON 99506 4894 887 72254
CAMDEN 127166 6124 1107 62464
"CAPE MAY" 22189 1291 320 23794
CUMBERLAND 28188 1004 610 18882
ESSEX 185505 5641 1585 66842
GLOUCESTER 61095 3196 692 42315
HUDSON 118206 4436 915 43804
HUNTERDON 21387 2459 399 32210
MERCER 83256 4561 1072 46670
MIDDLESEX 154998 8934 1372 93545
MONMOUTH 131476 9059 2315 119291
MORRIS 88039 6333 1070 111066
OCEAN 102104 7354 1251 105684
PASSAIC 90324 3752 1454 61043
SALEM 13718 714 283 12257
SOMERSET 56232 3776 644 59725
SUSSEX 21353 2399 461 33277
UNION 112003 4945 871 68554
WARREN 16543 1806 280 22172
