COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ATLANTIC 67830 341 49902
BERGEN 225367 1153 186118
BURLINGTON 131219 569 89626
CAMDEN 159259 515 73819
"CAPE MAY" 22893 200 27288
CUMBERLAND 34919 205 22360
ESSEX 240306 635 74063
GLOUCESTER 77267 400 60315
HUDSON 154140 648 55360
HUNTERDON 29776 231 39092
MERCER 107926 400 50223
MIDDLESEX 193812 872 123695
MONMOUTH 148737 745 160433
MORRIS 112275 542 132331
OCEAN 110189 594 160677
PASSAIC 113257 387 72552
SALEM 16044 99 14816
SOMERSET 79321 357 70085
SUSSEX 28840 316 44184
UNION 141417 465 78768
WARREN 20628 195 27500
