COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ATLANTIC 73808 367 958 460 64438
BERGEN 285967 1375 2852 1238 204417
BURLINGTON 154595 605 2206 746 103345
CAMDEN 175065 781 1884 679 86207
"CAPE MAY" 23941 140 311 164 33158
CUMBERLAND 32742 139 397 178 28952
ESSEX 266820 978 1296 742 75475
GLOUCESTER 86702 446 1616 550 83340
HUDSON 181452 782 1252 666 65698
HUNTERDON 39457 410 985 237 43153
MERCER 122532 564 1427 440 51641
MIDDLESEX 226250 1221 2554 870 143467
MONMOUTH 181291 1414 2708 930 191808
MORRIS 153881 1005 2436 866 141134
OCEAN 119456 1050 2469 801 217740
PASSAIC 129097 805 1103 693 92009
SALEM 14479 93 406 117 18827
SOMERSET 111173 620 1641 429 71996
SUSSEX 34481 352 1094 335 51698
UNION 170245 792 1427 525 80002
WARREN 24901 263 655 199 34769
