COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
BERNALILLO 99461 8274 1335 95249
CATRON 353 57 28 1273
CHAVES 6340 307 124 11378
CIBOLA 4127 164 45 2752
COLFAX 2653 163 45 2600
CURRY 3471 147 50 8301
"DE BACA" 349 12 9 612
"DONA ANA" 23912 1158 320 21263
EDDY 7108 256 88 10335
GRANT 5673 530 77 4961
GUADALUPE 1076 24 3 548
HARDING 214 9 4 366
HIDALGO 839 28 13 954
LEA 3855 169 75 10157
LINCOLN 2027 168 119 4458
"LOS ALAMOS" 4149 329 117 5623
LUNA 2975 186 56 3395
MCKINLEY 10281 392 136 5070
MORA 1456 49 18 668
OTERO 5465 338 143 10258
QUAY 1471 51 30 2292
"RIO ARRIBA" 8169 377 56 3495
ROOSEVELT 1762 98 29 3762
"SAN JUAN" 11980 923 320 21434
"SAN MIGUEL" 6540 344 62 2215
SANDOVAL 14899 1211 222 15423
"SANTA FE" 32017 3215 265 13974
SIERRA 1689 132 44 2721
SOCORRO 3294 279 80 3173
TAOS 7039 1064 48 2744
TORRANCE 1868 163 38 2891
UNION 452 19 15 1269
VALENCIA 9819 615 140 10803
