COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
BERNALILLO 132252 3105 121454
CATRON 551 15 1427
CHAVES 6726 206 14773
CIBOLA 3913 97 3477
COLFAX 2824 62 3082
CURRY 3541 96 10649
"DE BACA" 281 6 706
"DONA ANA" 31762 650 29548
EDDY 6880 122 13268
GRANT 7095 162 6135
GUADALUPE 1340 13 914
HARDING 259 5 380
HIDALGO 861 22 1081
LEA 3646 105 14430
LINCOLN 2822 122 6070
"LOS ALAMOS" 5206 181 5810
LUNA 3340 89 4164
MCKINLEY 13051 221 7351
MORA 1876 22 928
OTERO 6433 265 14066
QUAY 1422 34 2661
"RIO ARRIBA" 9753 97 5149
ROOSEVELT 2082 65 4997
"SAN JUAN" 14843 638 29525
"SAN MIGUEL" 8683 120 3313
SANDOVAL 21421 492 22628
"SANTA FE" 47074 660 18466
SIERRA 1926 69 3162
SOCORRO 4025 130 3696
TAOS 10987 182 3666
TORRANCE 2386 95 4026
UNION 411 16 1454
VALENCIA 11270 268 14474
