COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
BERNALILLO 193757 1614 4829 1255 116135
CATRON 595 7 17 9 1698
CHAVES 6381 70 268 68 15656
CIBOLA 4745 49 99 35 3975
COLFAX 2611 25 87 22 3271
CURRY 4307 53 245 52 10444
"DE BACA" 231 1 11 2 656
"DONA ANA" 47957 415 1129 338 32802
EDDY 5424 44 239 61 17454
GRANT 7590 98 159 35 6553
GUADALUPE 1234 8 21 9 917
HARDING 179 0 3 4 319
HIDALGO 823 6 13 12 1120
LEA 4061 50 214 62 16531
LINCOLN 3194 33 113 24 6942
"LOS ALAMOS" 7554 53 360 48 4278
LUNA 3563 38 73 21 4408
MCKINLEY 18029 202 266 188 7801
MORA 1745 13 14 11 903
OTERO 8485 108 387 70 14521
QUAY 1170 17 41 11 2634
"RIO ARRIBA" 10990 59 119 52 5408
ROOSEVELT 1802 15 138 19 4634
"SAN JUAN" 18083 251 827 259 32874
"SAN MIGUEL" 7888 57 115 50 3421
SANDOVAL 40588 350 1187 263 34174
"SANTA FE" 62530 403 758 207 18329
SIERRA 2265 36 66 36 3542
SOCORRO 3722 39 113 31 3255
TAOS 13121 146 152 47 3715
TORRANCE 2344 29 105 31 4772
UNION 383 2 11 5 1388
VALENCIA 14263 135 406 109 17364
