COUNTY REP DEM OTHER OTHER LIB OTHER
COUNTY REP DEM OTHER OTHER LIB OTHER
"Carson City" 10399 8066 215 163 114 137
Churchill 6778 2273 136 103 90 59
Clark 278932 312111 7023 4213 3401 2749
Douglas 14592 7019 195 139 114 99
Elko 10568 2640 165 148 121 119
Esmeralda 343 65 21 13 2 5
Eureka 649 69 15 7 2 9
Humboldt 3973 1155 108 64 34 42
Lander 1646 378 58 42 18 28
Lincoln 1636 306 60 12 21 12
Lyon 15992 6088 306 321 229 196
Mineral 1117 646 59 18 17 16
Nye 11948 5236 319 232 135 165
Pershing 1241 408 38 19 12 11
Storey 1693 701 43 27 22 14
Washoe 72844 73200 1479 996 798 681
"White Pine" 2503 681 62 42 27 31
