COUNTY DEM REP OTHER
COUNTY DEM REP OTHER
Albany 67306 46839 370
Allegany 3776 11752 46
Bronx 148817 43180 335
Brooklyn 378897 151354 901
Broome 28905 37574 85
Cattaraugus 7531 17865 42
Cayuga 9969 16485 49
Chautauqua 14923 27904 56
Chemung 9184 17956 72
Chenango 4936 11785 33
Clinton 11548 15289 35
Columbia 15613 13438 61
Cortland 6435 8879 41
Delaware 6326 11836 23
Dutchess 53856 58424 141
Erie 176281 157008 663
Essex 6836 8401 22
Franklin 5807 9003 13
Fulton 5191 13478 33
Genesee 6112 15788 36
Greene 7422 12231 21
Hamilton 830 2048 0
Herkimer 5584 16198 32
Jefferson 8946 22153 40
Lewis 1891 8263 7
Livingston 7913 15960 46
Madison 9875 15664 97
Manhattan 347606 75066 931
Monroe 145736 125047 540
Montgomery 4904 10679 36
Nassau 226506 280916 447
Niagara 29126 46111 126
Oneida 22723 44133 154
Onondaga 88618 76654 327
Ontario 19710 25570 81
Orange 53007 68086 193
Orleans 3242 10270 24
Oswego 12750 26485 61
Otsego 8540 12874 46
Putnam 16010 24557 37
Queens 259748 152320 653
Rensselaer 28107 33403 137
Rockland 46786 60133 149
Saratoga 47085 55048 184
Schenectady 26900 26330 141
Schoharie 3807 8742 26
Schuyler 2600 5028 25
Seneca 4460 6910 24
"St. Lawrence" 11368 22272 43
"Staten Island" 45930 92255 176
Steuben 9467 24522 53
Suffolk 228532 323960 903
Sullivan 9415 14388 19
Tioga 5976 12709 27
Tompkins 24266 9371 73
Ulster 43308 32709 133
Warren 12071 15483 47
Washington 7169 14163 41
Wayne 9816 21859 57
Westchester 187986 124347 88
Wyoming 2877 11191 26
Yates 2823 5252 27
