COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALBANY 85617 7182 1546 47624
ALLEGANY 6336 657 260 11436
BRONX 265801 4265 1737 36245
BROOME 45381 3826 910 36946
CATTARAUGUS 13697 1094 560 18382
CAYUGA 17031 1448 511 14988
CHAUTAUQUA 27016 1888 752 29064
CHEMUNG 17424 1195 312 18779
CHENANGO 9112 869 236 10033
CLINTON 15542 1205 534 13274
COLUMBIA 13489 1707 342 13153
CORTLAND 9691 943 232 9857
DELAWARE 8450 833 230 10662
DUTCHESS 52390 5553 1150 52669
ERIE 240176 18166 6136 160176
ESSEX 7927 848 335 8822
FRANKLIN 8870 658 276 7643
FULTON 9314 668 255 11434
GENESEE 10191 924 495 14459
GREENE 8480 924 358 11332
HAMILTON 1114 133 47 2388
HERKIMER 12224 969 365 14147
JEFFERSON 16799 1029 398 18192
KINGS 497468 19977 3055 96605
LEWIS 4333 324 163 6103
LIVINGSTON 10476 1053 450 15244
MADISON 12017 1092 378 14879
MONROE 161743 11520 3233 141266
MONTGOMERY 10249 487 308 9765
"NASSAU" 341610 14780 6363 226954
"NEW YORK" 449300 30923 3088 79921
NIAGARA 47781 3257 1267 40952
ONEIDA 43933 3160 1300 47603
ONONDAGA 109896 7670 2385 83678
ONTARIO 19761 1793 509 23885
ORANGE 58170 4192 1335 62852
ORLEANS 5991 474 176 9202
OSWEGO 22857 1699 668 23249
OTSEGO 11460 1419 260 12219
PUTNAM 18525 1730 439 21853
QUEENS 416967 13720 3191 122052
RENSSELAER 34808 3291 775 29562
RICHMOND 73828 3550 840 63903
ROCKLAND 69530 3502 1107 48441
SARATOGA 43359 4149 926 46623
SCHENECTADY 35534 2750 701 27961
SCHOHARIE 5390 551 148 7459
SCHUYLER 3301 369 102 4381
SENECA 6841 560 198 6734
"ST. LAWRENCE" 21386 1488 456 16449
STEUBEN 14600 1248 515 24200
SUFFOLK 306306 18130 8438 240992
SULLIVAN 14348 1156 317 12703
TIOGA 9170 846 199 12239
TOMPKINS 21807 4548 354 13351
ULSTER 38162 5732 884 33447
WARREN 12193 1177 258 14993
WASHINGTON 9641 997 321 12596
WAYNE 14977 1202 449 21701
WESTCHESTER 218010 11596 2891 139278
WYOMING 5935 548 335 10809
YATES 3962 386 139 5565
