COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ALBANY 93937 2613 50586
ALLEGANY 7016 339 11013
BRONX 338261 1342 41683
BROOME 47204 1437 40077
CATTARAUGUS 14307 511 17770
CAYUGA 18128 621 15243
CHAUTAUQUA 29129 1064 28579
CHEMUNG 18888 443 19364
CHENANGO 10100 410 10337
CLINTON 20216 519 12579
COLUMBIA 17556 515 13337
CORTLAND 11861 361 9678
DELAWARE 9462 403 10524
DUTCHESS 71060 1566 59628
ERIE 256299 6871 178815
ESSEX 10390 288 7913
FRANKLIN 10571 249 6676
FULTON 9695 401 11709
GENESEE 10762 399 15705
GREENE 9850 406 12059
HAMILTON 1225 45 2141
HERKIMER 12094 471 14619
JEFFERSON 18166 462 20219
KINGS 603525 4274 151872
LEWIS 4986 174 5969
LIVINGSTON 13655 442 16030
MADISON 14692 652 14434
MONROE 207225 4347 144153
MONTGOMERY 9080 384 10711
"NASSAU" 342067 4589 288758
"NEW YORK" 572126 5239 89906
NIAGARA 47303 1556 46348
ONEIDA 43506 1551 49256
ONONDAGA 129317 3905 84972
ONTARIO 25103 746 25171
ORANGE 78326 1550 72042
ORLEANS 6614 252 9708
OSWEGO 24777 907 23571
OTSEGO 13570 505 12026
PUTNAM 21613 455 25145
QUEENS 447906 3794 145898
RENSSELAER 39753 1393 32840
RICHMOND 79311 1107 86062
ROCKLAND 69543 841 61752
SARATOGA 56645 1755 52855
SCHENECTADY 38611 1409 29758
SCHOHARIE 6009 301 8071
SCHUYLER 3933 125 4542
SENECA 7422 265 7038
"ST. LAWRENCE" 23706 580 16956
STEUBEN 17148 540 24203
SUFFOLK 346379 5833 306815
SULLIVAN 16850 403 13900
TIOGA 10172 382 12536
TOMPKINS 29826 732 11927
ULSTER 52539 1395 32527
WARREN 16281 496 15429
WASHINGTON 12741 442 12533
WAYNE 18184 579 22239
WESTCHESTER 261810 3213 147824
WYOMING 6379 281 10998
YATES 4890 105 5269
