COUNTY DEM REP IND OTHER
COUNTY DEM REP IND OTHER
Albany 70982 42077 485 100
Allegany 4211 11071 76 6
Bronx 151459 35611 841 172
Brooklyn 398150 120042 2411 788
Broome 31628 33989 402 54
Cattaraugus 8379 16569 117 6
Cayuga 11301 14920 120 10
Chautauqua 16430 25877 182 16
Chemung 10183 16527 138 19
Chenango 5744 10720 108 17
Clinton 12965 13515 152 9
Columbia 16287 12472 77 20
Cortland 7056 8103 93 12
Delaware 6866 11071 91 8
Dutchess 55554 55348 554 47
Erie 195335 141637 1783 84
Essex 7339 7526 77 4
Franklin 6675 7904 81 6
Fulton 6051 12086 113 7
Genesee 6861 14690 126 8
Greene 7768 11471 117 4
Hamilton 964 1835 14 1
Herkimer 6800 14509 112 8
Jefferson 11309 19346 142 11
Lewis 2768 7096 32 4
Livingston 8793 14745 156 8
Madison 11058 14287 152 21
Manhattan 356204 61142 1966 551
Monroe 153138 115561 1356 152
Montgomery 5641 9595 78 5
Nassau 242104 260110 1231 196
Niagara 31343 42753 370 26
Oneida 28601 43942 344 32
Onondaga 96143 67940 848 88
Ontario 21144 23714 235 15
Orange 56810 61993 488 87
Orleans 3728 9509 68 8
Oswego 14488 24250 231 13
Otsego 9337 11690 145 10
Putnam 16548 23528 152 14
Queens 272692 131226 2264 403
Rensselaer 30323 30350 368 31
Rockland 54086 56974 277 126
Saratoga 49583 51303 489 39
Schenectady 28277 24045 307 39
Schoharie 4253 8096 90 5
Schuyler 2815 4694 41 3
Seneca 4928 6293 84 7
"St. Lawrence" 14080 19020 195 13
"Staten Island" 49716 86536 539 110
Steuben 10384 23100 171 12
Suffolk 239031 305248 2017 533
Sullivan 10256 12974 141 13
Tioga 6590 11827 110 11
Tompkins 24554 8696 221 32
Ulster 44253 30724 445 44
Warren 12887 14192 164 12
Washington 8138 12972 121 10
Wayne 10890 20430 146 10
Westchester 194702 114758 984 83
Wyoming 3397 10444 73 8
Yates 3137 4839 39 7
