COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 3581 162 112 6380
ALLEN 13996 760 392 28647
ASHLAND 6685 563 477 13533
ASHTABULA 19831 1109 592 17940
ATHENS 13158 1663 923 9703
AUGLAIZE 5564 372 186 13770
BELMONT 15980 723 813 12625
BROWN 5972 269 161 10027
BUTLER 46390 2708 1052 86587
CARROLL 4960 271 298 6732
CHAMPAIGN 5955 346 159 9220
CLARK 27984 1347 568 27660
CLERMONT 20927 1303 518 47129
CLINTON 4791 325 130 9824
COLUMBIANA 20657 1217 749 21804
COSHOCTON 5594 295 136 8243
CRAWFORD 6721 536 253 11666
CUYAHOGA 359913 16956 5814 192099
DARKE 7741 452 257 14817
DEFIANCE 6175 365 162 9540
DELAWARE 17134 1212 418 36639
ERIE 17732 872 306 16105
FAIRFIELD 19065 1115 391 33523
FAYETTE 3363 165 65 5685
FRANKLIN 202018 10702 3492 197862
FULTON 6805 376 169 11546
GALLIA 4872 215 178 7511
GEAUGA 15327 1405 451 25417
GREENE 25059 1592 607 37946
GUERNSEY 6643 405 201 8181
HAMILTON 161578 9222 2924 204175
HANCOCK 8798 592 242 20985
HARDIN 4557 243 144 7124
HARRISON 3351 192 201 3417
HENRY 4367 258 97 8530
HIGHLAND 5328 245 146 9728
HOCKING 4474 291 289 5702
HOLMES 2066 172 153 6754
HURON 8183 560 331 12286
JACKSON 5131 222 179 6958
JEFFERSON 17488 897 1213 15038
KNOX 7133 452 282 13393
LAKE 46497 3166 1154 51747
LAWRENCE 11307 402 212 12531
LICKING 23196 1498 592 37180
LOGAN 5945 449 212 11849
LORAIN 59809 3183 1231 47957
LUCAS 108344 4227 1437 73342
MADISON 5287 299 189 8892
MAHONING 69212 3322 1125 40460
MARION 10370 588 240 13617
MEDINA 26635 1960 939 37349
MEIGS 3674 226 145 5750
MERCER 5212 392 205 12485
MIAMI 15584 879 341 26037
MONROE 3605 149 216 3145
MONTGOMERY 114597 4690 1908 109792
MORGAN 2261 177 104 3451
MORROW 4529 305 163 7842
MUSKINGUM 13415 882 332 17995
NOBLE 2296 154 103 3435
OTTAWA 9485 432 134 9917
PAULDING 3384 242 110 5210
PERRY 5895 334 159 6440
PICKAWAY 6598 276 149 10717
PIKE 4923 176 128 5333
PORTAGE 31446 2340 842 28271
PREBLE 6375 404 211 11176
PUTNAM 4063 254 190 12837
RICHLAND 20572 1306 763 30138
ROSS 11662 421 227 13706
SANDUSKY 11146 587 312 13699
SCIOTO 13997 590 336 15022
SENECA 9512 666 310 13863
SHELBY 6593 392 209 12476
STARK 75308 4032 2351 78153
SUMMIT 119759 5955 2404 96721
TRUMBULL 57643 2749 1193 34654
TUSCARAWAS 15879 1061 629 19549
UNION 5040 336 146 11502
"VAN WERT" 4209 216 115 8679
VINTON 2037 110 79 2720
WARREN 19142 1067 551 48318
WASHINGTON 10383 571 219 15342
WAYNE 14779 1171 585 25901
WILLIAMS 5454 347 177 9941
WOOD 22687 1536 467 27504
WYANDOT 3397 191 126 6113
