COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADAMS 4170 304 6914
ALLEN 19521 801 29941
ASHLAND 9300 710 15158
ASHTABULA 25027 898 18949
ATHENS 20722 634 9742
AUGLAIZE 6727 364 16395
BELMONT 16302 687 15422
BROWN 7503 418 12192
BUTLER 66030 2406 105340
CARROLL 6423 433 7097
CHAMPAIGN 7385 361 11141
CLARK 31958 1178 33634
CLERMONT 31611 1310 62559
CLINTON 6558 338 12410
COLUMBIANA 21882 1013 25585
COSHOCTON 7689 499 8675
CRAWFORD 8288 569 12316
CUYAHOGA 458204 7046 199864
DARKE 7964 539 17290
DEFIANCE 8399 391 10407
DELAWARE 36653 985 54778
ERIE 23148 649 17432
FAIRFIELD 29250 1116 41580
FAYETTE 4401 191 7102
FRANKLIN 334684 7129 218478
FULTON 9900 384 11689
GALLIA 4777 294 8247
GEAUGA 21250 756 29096
GREENE 33540 1113 48936
GUERNSEY 7625 503 9197
HAMILTON 224644 4331 195107
HANCOCK 13870 691 22420
HARDIN 5013 352 7749
HARRISON 3683 232 3872
HENRY 6320 281 8239
HIGHLAND 6857 423 11908
HOCKING 6231 338 6326
HOLMES 3141 252 7720
HURON 12076 622 12884
JACKSON 5397 377 8219
JEFFERSON 17635 745 17559
KNOX 11014 577 16640
LAKE 60155 2038 59142
LAWRENCE 11262 517 15415
LICKING 33896 1501 46886
LOGAN 7936 433 13848
LORAIN 85276 2515 59068
LUCAS 142852 3272 73706
MADISON 6532 316 10603
MAHONING 79173 2540 45319
MARION 12870 693 15454
MEDINA 40924 1338 48189
MEIGS 4094 245 6015
MERCER 5853 318 15100
MIAMI 18372 1018 33417
MONROE 3705 211 3066
MONTGOMERY 145997 3835 128679
MORGAN 2966 202 3440
MORROW 6177 399 10067
MUSKINGUM 17730 792 20549
NOBLE 2474 248 3450
OTTAWA 12049 402 10618
PAULDING 4165 287 5317
PERRY 7261 422 7721
PICKAWAY 9077 421 14228
PIKE 6033 311 6162
PORTAGE 41856 1527 34822
PREBLE 6999 441 13562
PUTNAM 5281 327 13072
RICHLAND 25727 1361 34034
ROSS 14455 626 16759
SANDUSKY 15601 582 14190
SCIOTO 14926 651 16994
SENECA 13087 539 13823
SHELBY 7317 427 15924
STARK 96990 3812 86743
SUMMIT 155105 3455 110499
TRUMBULL 64145 2579 40164
TUSCARAWAS 21498 998 20454
UNION 8761 423 15744
"VAN WERT" 5178 306 9168
VINTON 2463 162 3021
WARREN 33398 1127 71691
WASHINGTON 12368 545 17019
WAYNE 21712 1088 29342
WILLIAMS 8174 343 9880
WOOD 34285 1090 29648
WYANDOT 4461 246 6270
