COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ADAMS 2156 92 27 9870
ALLEN 14149 590 151 33116
ASHLAND 6541 345 112 19407
ASHTABULA 16497 559 201 26890
ATHENS 14772 299 126 10862
AUGLAIZE 4651 260 68 20798
BELMONT 9138 285 105 23560
BROWN 4380 182 54 16480
BUTLER 69613 2177 555 114392
CARROLL 3251 156 60 10745
CHAMPAIGN 5062 260 61 14589
CLARK 24076 829 275 39032
CLERMONT 34092 1513 305 74570
CLINTON 4697 270 72 15488
COLUMBIANA 13359 607 168 35726
COSHOCTON 4125 227 62 12325
CRAWFORD 4916 278 56 15436
CUYAHOGA 416176 4593 2202 202699
DARKE 4731 331 68 22004
DEFIANCE 5981 272 90 13038
DELAWARE 57735 1630 349 66356
ERIE 17493 522 160 22160
FAIRFIELD 31224 1033 257 50797
FAYETTE 2975 132 32 9473
FRANKLIN 409144 7718 2478 211237
FULTON 6664 299 76 15731
GALLIA 2990 132 32 10645
GEAUGA 21201 534 143 34143
GREENE 34798 1458 315 52072
GUERNSEY 4577 177 69 13407
HAMILTON 246266 5211 1566 177886
HANCOCK 11757 580 124 26310
HARDIN 3062 192 44 9949
HARRISON 1768 59 36 5792
HENRY 4062 175 48 10479
HIGHLAND 3799 146 53 15678
HOCKING 3880 162 45 9737
HOLMES 1994 125 32 10796
HURON 7759 387 88 18956
JACKSON 3311 144 30 11309
JEFFERSON 10018 357 159 22828
KNOX 8589 374 95 22340
LAKE 55514 1284 433 73278
LAWRENCE 7489 259 73 20306
LICKING 33055 1279 362 59514
LOGAN 5055 272 77 17964
LORAIN 75667 1677 573 79520
LUCAS 115411 2605 844 81763
MADISON 5698 269 53 13835
MAHONING 57641 966 456 59903
MARION 8269 414 112 19023
MEDINA 39800 1144 283 64598
MEIGS 2492 111 32 8316
MERCER 4030 204 75 19452
MIAMI 15663 782 156 41371
MONROE 1605 54 26 5463
MONTGOMERY 135064 3418 989 129034
MORGAN 1725 64 17 5041
MORROW 4048 257 75 14077
MUSKINGUM 11971 459 168 27867
NOBLE 1170 25 13 5135
OTTAWA 9008 292 79 14628
PAULDING 2213 124 44 7086
PERRY 4098 170 50 12357
PICKAWAY 7304 295 79 20593
PIKE 3110 123 22 9157
PORTAGE 35661 906 315 45990
PREBLE 4493 243 51 17022
PUTNAM 3195 247 67 16412
RICHLAND 17640 680 183 41472
ROSS 10557 345 119 22278
SANDUSKY 10596 448 134 18896
SCIOTO 9080 262 96 22609
SENECA 8266 357 101 17086
SHELBY 4465 290 81 20422
STARK 75904 2163 715 111097
SUMMIT 151668 3003 969 124833
TRUMBULL 44519 913 375 55194
TUSCARAWAS 12889 494 174 30458
UNION 11141 535 100 21669
"VAN WERT" 3067 201 47 11650
VINTON 1331 47 20 4632
WARREN 46069 1747 296 87988
WASHINGTON 9243 372 109 22307
WAYNE 16660 665 199 36759
WILLIAMS 4842 285 72 13452
WOOD 30617 992 231 35757
WYANDOT 2733 155 40 8462
