COUNTY REP DEM OTHER
COUNTY REP DEM OTHER
Adams 6654 1942 0
Allen 22877 9226 19
Ashland 13132 4958 0
Ashtabula 17979 12372 17
Athens 7219 10773 36
Auglaize 14778 3586 18
Belmont 14956 7232 0
Brown 10625 3257 11
Butler 77802 47535 0
Carroll 7272 2710 25
Champaign 10126 4045 83
Clark 26665 16810 51
Clermont 51877 26573 191
Clinton 10285 3488 11
Columbiana 24459 10520 51
Coshocton 7876 3208 24
Crawford 10671 3884 29
Cuyahoga 128603 268703 726
Darke 15706 3707 32
Defiance 8692 4461 25
Delaware 51139 44659 83
Erie 15053 13316 50
Fairfield 35104 22570 0
Fayette 6156 2061 20
Franklin 139550 270562 1089
Fulton 10720 5235 0
Gallia 6876 2084 11
Geauga 24970 17084 65
Greene 37754 25331 41
Guernsey 8551 3448 18
Hamilton 125140 168564 70
Hancock 18029 8553 53
Hardin 6407 2422 4
Harrison 3668 1441 12
Henry 6999 3510 2
Highland 9785 2722 8
Hocking 6249 3080 19
Holmes 6949 1544 21
Huron 12217 5936 42
Jackson 6435 2229 13
Jefferson 14752 7802 33
Knox 15748 6721 31
Lake 49960 42184 0
Lawrence 12520 4705 0
Licking 40610 24123 74
Logan 12351 3830 0
Lorain 53464 55885 203
Lucas 51990 76737 0
Madison 9556 4230 0
Mahoning 43753 40827 147
Marion 12441 6198 14
Medina 45218 31525 142
Meigs 5530 1850 0
Mercer 14180 3342 21
Miami 29519 11713 96
Monroe 3436 1361 0
Montgomery 87850 88208 0
Morgan 3441 1302 0
Morrow 9831 3248 18
Muskingum 18389 8497 34
Noble 3462 1071 9
Ottawa 10497 7646 0
Paulding 4792 1566 0
Perry 8407 3283 34
Pickaway 13609 5581 38
Pike 5318 2290 0
Portage 31654 27463 112
Preble 11978 3476 0
Putnam 12180 2624 0
Richland 28357 12673 16
Ross 14440 7715 46
Sandusky 12870 8058 0
Scioto 14296 6249 0
Seneca 11463 6229 0
Shelby 14166 3439 0
Stark 75997 55176 142
Summit 85140 110642 142
Trumbull 38382 33226 129
Tuscarawas 19691 10068 63
Union 16028 8855 0
"Van Wert" 7890 2162 4
Vinton 2948 1019 0
Warren 64222 35304 193
Washington 15492 6798 25
Wayne 25193 12646 63
Williams 8816 3846 0
Wood 24376 22664 24
Wyandot 5690 2185 13
