COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAIR 2361 0 113 3503
ALFALFA 583 0 38 1886
ATOKA 1906 0 43 2375
BEAVER 339 0 25 2092
BECKHAM 2408 0 57 4067
BLAINE 1402 0 59 2633
BRYAN 5554 0 108 6084
CADDO 4272 0 103 4835
CANADIAN 8367 0 314 22679
CARTER 6659 0 132 9667
CHEROKEE 7256 0 294 6918
CHOCTAW 2799 0 55 2461
CIMARRON 227 0 27 1230
CLEVELAND 27792 0 986 47393
COAL 1148 0 18 1196
COMANCHE 11971 0 259 17103
COTTON 1068 0 26 1388
CRAIG 2568 0 101 2815
CREEK 9753 0 408 13580
CUSTER 3115 0 101 6527
DELAWARE 5514 0 221 7618
DEWEY 599 0 14 1607
ELLIS 468 0 32 1513
GARFIELD 6543 0 238 14902
GARVIN 4189 0 118 5536
GRADY 6037 0 199 10040
GRANT 709 0 32 1762
GREER 839 0 26 1287
HARMON 507 0 6 692
HARPER 374 0 13 1296
HASKELL 2510 0 79 2039
HUGHES 2334 0 55 2196
JACKSON 2515 0 53 5591
JEFFERSON 1245 0 28 1320
JOHNSTON 1809 0 49 2072
KAY 6122 0 272 11768
KINGFISHER 1304 0 59 4693
KIOWA 1544 0 33 2173
LATIMER 1865 0 65 1739
"LE FLORE" 6536 0 234 8215
LINCOLN 4140 0 174 7387
LOGAN 4510 0 173 8187
LOVE 1530 0 35 1807
MAJOR 635 0 45 2672
MARSHALL 2210 0 49 2641
MAYES 6618 0 251 7132
MCCLAIN 3679 0 110 6750
MCCURTAIN 3752 0 129 6601
MCINTOSH 4206 0 131 3444
MURRAY 2263 0 50 2609
MUSKOGEE 12520 0 353 11820
NOBLE 1416 0 51 3230
NOWATA 1703 0 77 2069
OKFUSKEE 1814 0 64 1910
OKLAHOMA 81590 0 2443 139078
OKMULGEE 7186 0 195 5797
OSAGE 7540 0 231 8138
OTTAWA 5647 0 139 5625
PAWNEE 2435 0 104 3386
PAYNE 9319 0 372 15256
PITTSBURG 7627 0 216 8514
PONTOTOC 5387 0 150 7299
POTTAWATOMIE 8763 0 318 13235
PUSHMATAHA 1969 0 48 2331
"ROGER MILLS" 441 0 12 1234
ROGERS 10813 0 425 17713
SEMINOLE 3783 0 72 4011
SEQUOYAH 5425 0 215 6614
STEPHENS 6467 0 161 10860
TEXAS 1084 0 40 4964
TILLMAN 1400 0 29 1920
TULSA 81656 0 2883 134152
WAGONER 8244 0 292 12981
WASHINGTON 6644 0 312 13788
WASHITA 1564 0 54 2850
WOODS 1235 0 37 2774
WOODWARD 1950 0 83 5067
