COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
ADAIR 2562 0 4971
ALFALFA 470 0 2201
ATOKA 1946 0 3142
BEAVER 297 0 2272
BECKHAM 1931 0 5454
BLAINE 1222 0 3199
BRYAN 5745 0 8615
CADDO 3916 0 6491
CANADIAN 9712 0 33297
CARTER 6466 0 12178
CHEROKEE 8623 0 9569
CHOCTAW 2639 0 3168
CIMARRON 184 0 1242
CLEVELAND 34007 0 65720
COAL 1203 0 1396
COMANCHE 12022 0 21170
COTTON 898 0 1742
CRAIG 2504 0 3894
CREEK 9929 0 18848
CUSTER 2801 0 7839
DELAWARE 5591 0 10017
DEWEY 408 0 1843
ELLIS 395 0 1685
GARFIELD 5586 0 17685
GARVIN 3707 0 7610
GRADY 5970 0 14136
GRANT 571 0 1950
GREER 719 0 1529
HARMON 354 0 838
HARPER 268 0 1397
HASKELL 2378 0 2946
HUGHES 2283 0 3066
JACKSON 2232 0 7024
JEFFERSON 1057 0 1546
JOHNSTON 1713 0 2635
KAY 5957 0 14121
KINGFISHER 1022 0 5630
KIOWA 1413 0 2610
LATIMER 1945 0 2535
"LE FLORE" 6741 0 10683
LINCOLN 4041 0 10149
LOGAN 4869 0 11474
LOVE 1538 0 2295
MAJOR 537 0 3122
MARSHALL 2088 0 3363
MAYES 6933 0 9946
MCCLAIN 3742 0 10041
MCCURTAIN 3684 0 7472
MCINTOSH 4488 0 4692
MURRAY 2130 0 3665
MUSKOGEE 12585 0 15124
NOBLE 1335 0 3993
NOWATA 1660 0 2805
OKFUSKEE 1743 0 2542
OKLAHOMA 97298 0 174741
OKMULGEE 7367 0 8363
OSAGE 8068 0 11467
OTTAWA 5086 0 7443
PAWNEE 2564 0 4412
PAYNE 10101 0 19560
PITTSBURG 7452 0 11134
PONTOTOC 5165 0 9647
POTTAWATOMIE 8638 0 17215
PUSHMATAHA 1934 0 2863
"ROGER MILLS" 382 0 1388
ROGERS 11918 0 24976
SEMINOLE 3648 0 5624
SEQUOYAH 5910 0 8865
STEPHENS 5515 0 13646
TEXAS 1016 0 5450
TILLMAN 1175 0 2273
TULSA 90220 0 163452
WAGONER 9157 0 19081
WASHINGTON 6862 0 16551
WASHITA 1340 0 3705
WOODS 932 0 3166
WOODWARD 1458 0 6193
