COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
BAKER 2195 289 156 5618
BENTON 19444 2463 494 15825
CLACKAMAS 76421 6357 1945 77539
CLATSOP 8296 939 289 6950
COLUMBIA 10331 970 525 9369
COOS 11610 1410 733 15626
CROOK 2474 258 182 5363
CURRY 4090 603 269 6551
DESCHUTES 22061 2799 893 32132
DOUGLAS 14193 1768 965 30294
GILLIAM 359 37 15 679
GRANT 589 98 81 3078
HARNEY 766 84 85 2799
"HOOD RIVER" 4072 645 111 3721
JACKSON 33153 4207 1384 46052
JEFFERSON 2681 247 131 3838
JOSEPHINE 11864 1783 900 22186
KLAMATH 7541 867 581 18855
LAKE 707 108 84 2830
LANE 78583 10245 1782 61578
LINCOLN 10861 1435 376 8446
LINN 16682 1617 730 25359
MALHEUR 2336 248 196 7624
MARION 49430 4679 1782 57443
MORROW 1197 87 101 2224
MULTNOMAH 188441 21048 3519 83677
POLK 11921 1201 339 14988
SHERMAN 326 36 21 679
TILLAMOOK 5762 613 226 5775
UMATILLA 7809 655 456 14140
UNION 3577 436 227 7836
WALLOWA 836 114 65 3279
WASCO 4616 513 179 5356
WASHINGTON 90662 6985 2236 86091
WHEELER 202 27 28 584
YAMHILL 14254 1486 606 19193
