COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
BAKER 1797 764 6218
BENTON 29193 6115 13445
CLACKAMAS 102095 23552 88392
CLATSOP 9252 2274 8138
COLUMBIA 10167 3234 13217
COOS 10448 3000 17865
CROOK 2637 1024 8511
CURRY 4300 1099 7212
DESCHUTES 42444 10421 45692
DOUGLAS 14096 4843 34582
GILLIAM 239 109 671
GRANT 739 391 3210
HARNEY 683 379 2912
"HOOD RIVER" 6510 1128 3272
JACKSON 44447 11010 53870
JEFFERSON 2980 996 5483
JOSEPHINE 13453 4184 26923
KLAMATH 7210 2862 20435
LAKE 639 269 3022
LANE 102753 22056 67141
LINCOLN 12501 2716 10039
LINN 17995 7236 33488
MALHEUR 2246 995 7194
MARION 57788 15675 63377
MORROW 1017 429 2721
MULTNOMAH 292561 38588 67954
POLK 16420 4935 18940
SHERMAN 202 83 732
TILLAMOOK 5768 1497 6538
UMATILLA 7673 2865 17059
UNION 3249 1288 8431
WALLOWA 1116 402 2848
WASCO 4781 1350 5833
WASHINGTON 153251 32784 83197
WHEELER 155 72 591
YAMHILL 19301 6202 23250
