COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
BAKER 2346 33 144 57 7352
BENTON 35827 335 1142 617 14878
CLACKAMAS 139043 1011 4736 2380 110509
CLATSOP 12916 130 437 209 10218
COLUMBIA 13835 158 787 291 17150
COOS 14243 171 572 260 21829
CROOK 3801 42 231 87 11287
CURRY 6058 63 228 92 8484
DESCHUTES 65962 422 2097 1107 55646
DOUGLAS 19160 258 1182 451 43298
GILLIAM 324 1 17 2 834
GRANT 929 12 77 33 3545
HARNEY 894 9 63 40 3475
"HOOD RIVER" 8764 55 199 117 3955
JACKSON 59478 637 2168 1013 63869
JEFFERSON 4393 57 210 64 7189
JOSEPHINE 18451 223 795 421 31751
KLAMATH 10388 146 637 247 25308
LAKE 792 10 63 28 3470
LANE 134366 1349 3906 2296 80336
LINCOLN 17385 214 462 205 12460
LINN 26512 403 1594 645 43486
MALHEUR 3260 56 221 80 8187
MARION 80872 844 3272 1544 79002
MORROW 1371 13 126 22 3586
MULTNOMAH 367249 2974 5726 4715 82995
POLK 22917 212 981 449 23732
SHERMAN 260 1 24 2 921
TILLAMOOK 8066 89 261 118 8354
UMATILLA 10707 90 740 231 21270
UNION 4254 46 241 105 10298
WALLOWA 1625 10 76 34 3404
WASCO 6604 75 296 120 7035
WASHINGTON 209940 1426 6398 3489 99073
WHEELER 217 2 25 10 711
YAMHILL 27174 254 1448 496 29551
