COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 11682 696 207 20848
ALLEGHENY 329963 10575 6579 235361
ARMSTRONG 11127 485 303 15508
BEAVER 38925 1450 727 32491
BEDFORD 5474 265 98 13598
BERKS 59150 3494 1246 71273
BLAIR 15774 693 297 28376
BRADFORD 7911 600 159 14660
BUCKS 132914 6294 2287 121927
BUTLER 25037 1287 491 44009
CAMBRIA 30308 1369 608 28001
CAMERON 779 50 34 1383
CARBON 10668 574 318 9717
CENTRE 21409 1623 334 26172
CHESTER 82047 4302 1133 100080
CLARION 5605 293 149 9796
CLEARFIELD 11718 570 302 18019
CLINTON 5521 307 102 6064
COLUMBIA 8975 663 161 12095
CRAWFORD 13250 854 359 18858
CUMBERLAND 31053 1749 458 54802
DAUPHIN 44390 2059 578 53631
DELAWARE 134861 5348 2032 105836
ELK 5754 352 125 7347
ERIE 59399 2980 929 49027
FAYETTE 28152 798 569 20013
FOREST 843 57 12 1371
FRANKLIN 14922 761 244 33042
FULTON 1425 77 30 3753
GREENE 7230 337 177 5890
HUNTINGDON 5073 340 136 10408
INDIANA 13667 711 224 16799
JEFFERSON 5566 339 196 11473
JUNIATA 2656 158 58 5795
LACKAWANNA 57471 2134 1680 35096
LANCASTER 54968 3341 1108 115900
LAWRENCE 20593 653 334 18060
LEBANON 16093 873 380 28534
LEHIGH 56667 3278 843 55492
LUZERNE 62199 3456 1603 52328
LYCOMING 14663 965 418 27137
MCKEAN 5510 403 230 9661
MERCER 23817 1073 703 23132
MIFFLIN 4835 264 115 9400
MONROE 21939 1319 355 23265
MONTGOMERY 177990 6816 1993 145623
MONTOUR 2356 132 44 3960
NORTHAMPTON 53097 3012 1185 47396
NORTHUMBERLAND 13670 956 483 18142
PERRY 4459 309 119 11184
PHILADELPHIA 449182 8206 2833 100959
PIKE 7330 498 197 9339
POTTER 2037 146 49 4858
SCHUYLKILL 26215 1713 531 29841
SNYDER 3536 271 71 8963
SOMERSET 12028 487 252 20218
SULLIVAN 1066 91 20 1928
SUSQUEHANNA 6481 459 105 10226
TIOGA 4617 404 116 9635
UNION 4209 373 70 8523
VENANGO 8196 467 218 11642
WARREN 7537 466 248 9290
WASHINGTON 44961 1442 699 37339
WAYNE 6904 625 184 11201
WESTMORELAND 71792 2601 1458 80858
WYOMING 4363 344 64 6922
YORK 51958 3305 1329 87652
