COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ADAMS 14219 1847 31423
ALLEGHENY 367617 23017 259480
ARMSTRONG 7178 956 23484
BEAVER 32531 2873 48167
BEDFORD 3645 440 19552
BERKS 78437 8002 96626
BLAIR 13958 1816 39135
BRADFORD 6369 1198 18141
BUCKS 167060 12876 164361
BUTLER 28584 4059 64428
CAMBRIA 18867 1947 42258
CAMERON 531 66 1589
CARBON 8936 1097 18743
CENTRE 37088 3786 35274
CHESTER 141682 11004 116114
CLARION 4273 686 12576
CLEARFIELD 8200 1139 24932
CLINTON 4744 628 10022
COLUMBIA 8934 1290 18004
CRAWFORD 10971 1534 24987
CUMBERLAND 47085 5456 69076
DAUPHIN 64706 5303 60863
DELAWARE 177402 9565 110667
ELK 3853 548 10025
ERIE 58112 5498 60069
FAYETTE 17946 1231 34590
FOREST 626 92 1683
FRANKLIN 17465 2498 49768
FULTON 912 165 5694
GREENE 4482 433 10849
HUNTINGDON 4539 673 14494
INDIANA 11528 1354 24888
JEFFERSON 3650 636 15192
JUNIATA 1821 360 8273
LACKAWANNA 51983 3089 48384
LANCASTER 91093 12105 137914
LAWRENCE 14009 1316 25428
LEBANON 18953 2367 40525
LEHIGH 81324 5979 73690
LUZERNE 52451 3844 78688
LYCOMING 13020 1918 35627
MCKEAN 4025 636 11635
MERCER 18733 2032 31544
MIFFLIN 3877 630 14094
MONROE 33918 2448 33386
MONTGOMERY 256082 15874 162731
MONTOUR 2857 411 5288
NORTHAMPTON 66272 5511 71736
NORTHUMBERLAND 9788 1407 25427
PERRY 4632 910 15616
PHILADELPHIA 584025 14858 108748
PIKE 9256 789 16056
POTTER 1302 231 6251
SCHUYLKILL 16770 2098 44001
SNYDER 4002 636 11725
SOMERSET 7376 1018 27379
SULLIVAN 750 95 2291
SUSQUEHANNA 5123 849 12891
TIOGA 3901 810 13614
UNION 6180 666 10622
VENANGO 6309 1018 16021
WARREN 5145 812 12477
WASHINGTON 36322 3742 61386
WAYNE 7008 766 16244
WESTMORELAND 59669 5860 116522
WYOMING 3811 496 8837
YORK 68524 8934 128528
