COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ABBEVILLE 3766 66 92 4450
AIKEN 16409 676 494 33203
ALLENDALE 2338 17 18 967
ANDERSON 19606 777 471 35827
BAMBERG 3451 19 34 2047
BARNWELL 3661 43 51 4521
BEAUFORT 17487 846 254 25561
BERKELEY 17707 464 349 24796
CALHOUN 3063 60 34 3216
CHARLESTON 49520 2631 1096 58229
CHEROKEE 6138 144 141 9900
CHESTER 5242 98 106 4986
CHESTERFIELD 6111 105 44 6266
CLARENDON 5999 64 41 5186
COLLETON 6449 104 70 6767
DARLINGTON 10253 166 154 11290
DILLON 4930 46 39 3975
DORCHESTER 12168 476 263 20734
EDGEFIELD 3950 65 59 4760
FAIRFIELD 5263 70 54 3011
FLORENCE 17157 394 208 23678
GEORGETOWN 9445 270 101 10535
GREENVILLE 43810 2388 1381 92714
GREENWOOD 8139 263 265 12193
HAMPTON 4896 39 26 2798
HORRY 29113 1405 447 40300
JASPER 3646 134 275 2414
KERSHAW 7428 211 127 11911
LANCASTER 8782 161 86 11676
LAURENS 7920 213 175 12102
LEE 3899 32 36 2675
LEXINGTON 22830 1444 712 58095
MARION 7358 53 51 4687
MARLBORO 5060 52 72 2699
MCCORMICK 1896 38 23 1704
NEWBERRY 4428 210 242 7492
OCONEE 7571 451 189 15364
ORANGEBURG 19802 170 105 12657
PICKENS 8927 606 368 24681
RICHLAND 63179 2356 782 50164
SALUDA 2682 56 55 4098
SPARTANBURG 29559 1150 730 52114
SUMTER 14365 270 122 15915
UNION 4662 90 69 5768
WILLIAMSBURG 6723 46 38 4524
YORK 19251 840 484 33776
