COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ABBEVILLE 4593 144 6264
AIKEN 26101 820 42849
ALLENDALE 3029 48 947
ANDERSON 24132 965 48690
BAMBERG 4426 79 2309
BARNWELL 4931 98 4769
BEAUFORT 30396 653 37821
BERKELEY 27755 821 36205
CALHOUN 3970 73 3695
CHARLESTON 82698 1914 69822
CHEROKEE 7215 246 13305
CHESTER 7478 185 6318
CHESTERFIELD 7842 192 8325
CLARENDON 8673 121 6758
COLLETON 8616 180 8525
DARLINGTON 14505 285 14544
DILLON 7408 135 5874
DORCHESTER 21806 670 29929
EDGEFIELD 5075 111 6334
FAIRFIELD 7591 116 3912
FLORENCE 28012 500 29861
GEORGETOWN 14199 301 15790
GREENVILLE 70886 3408 116363
GREENWOOD 12348 324 16995
HAMPTON 5816 95 3439
HORRY 38879 1310 64609
JASPER 5389 100 3365
KERSHAW 11226 293 16466
LANCASTER 12139 341 16441
LAURENS 10578 370 15334
LEE 5960 119 3074
LEXINGTON 33303 1249 74960
MARION 9608 150 5416
MARLBORO 6794 86 3996
MCCORMICK 2755 40 2437
NEWBERRY 6708 200 9616
OCONEE 9481 487 21164
ORANGEBURG 27263 376 12115
PICKENS 11691 885 32552
RICHLAND 105656 1440 57941
SALUDA 3323 89 5191
SPARTANBURG 41632 1654 65042
SUMTER 25431 346 18581
UNION 5935 167 7449
WILLIAMSBURG 11279 160 5004
YORK 37918 1278 54500
