COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ABBEVILLE 4101 23 88 6 8215
AIKEN 32275 274 982 65 51589
ALLENDALE 2718 19 19 2 835
ANDERSON 27169 178 1123 58 67565
BAMBERG 4010 17 31 7 2417
BARNWELL 4720 19 78 12 5492
BEAUFORT 43419 214 941 67 53194
BERKELEY 45223 276 1485 77 57397
CALHOUN 3905 18 58 5 4305
CHARLESTON 121485 743 3177 155 93297
CHEROKEE 6983 48 186 10 18043
CHESTER 6941 37 108 11 8660
CHESTERFIELD 7431 28 109 11 11297
CLARENDON 8250 42 67 13 8361
COLLETON 8602 56 178 7 10440
DARLINGTON 15220 77 260 28 16832
DILLON 6436 36 38 9 6582
DORCHESTER 33824 239 1219 83 41913
EDGEFIELD 4953 39 120 8 8184
FAIRFIELD 7382 41 78 10 4625
FLORENCE 31153 194 503 45 32615
GEORGETOWN 15822 93 237 29 20487
GREENVILLE 103030 698 4179 227 150021
GREENWOOD 12145 95 318 17 19431
HAMPTON 5323 22 44 10 3906
HORRY 59180 397 1255 91 118821
JASPER 7185 32 92 7 7078
KERSHAW 12699 90 344 25 20471
LANCASTER 18937 93 492 34 30312
LAURENS 10159 67 238 20 20004
LEE 5329 18 71 5 3008
LEXINGTON 49301 397 1935 118 92817
MARION 8872 40 63 18 5711
MARLBORO 6290 33 69 10 5044
MCCORMICK 2687 20 28 4 2958
NEWBERRY 6958 60 152 18 11443
OCONEE 10414 88 443 25 29698
ORANGEBURG 27295 106 172 29 13603
PICKENS 13645 162 793 39 42907
RICHLAND 132570 732 2027 180 58313
SALUDA 2963 21 75 5 6210
SPARTANBURG 52926 377 1702 90 93560
SUMTER 27379 152 355 34 21000
UNION 4935 36 96 7 8183
WILLIAMSBURG 10289 62 81 21 5532
YORK 59008 398 1807 110 82727
