COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
AURORA 513 0 53 847
BEADLE 3216 0 176 4347
BENNETT 377 0 27 712
"BON HOMME" 1162 0 76 1901
BROOKINGS 4546 0 226 6212
BROWN 7173 0 323 9060
BRULE 818 0 81 1268
BUFFALO 256 0 12 140
BUTTE 840 0 89 2760
CAMPBELL 147 0 31 739
"CHARLES MIX" 1300 0 74 2205
CLARK 791 0 45 1272
CLAY 2638 0 104 2363
CODINGTON 4192 0 228 6718
CORSON 549 0 65 629
CUSTER 955 0 123 2495
DAVISON 2936 0 147 4445
DAY 1492 0 82 1623
DEUEL 926 0 53 1245
DEWEY 880 0 40 761
DOUGLAS 363 0 35 1311
EDMUNDS 676 0 53 1257
"FALL RIVER" 1133 0 111 2185
FAULK 388 0 37 904
GRANT 1475 0 120 2235
GREGORY 718 0 52 1487
HAAKON 164 0 27 938
HAMLIN 923 0 69 1731
HAND 565 0 47 1419
HANSON 457 0 20 944
HARDING 64 0 17 650
HUGHES 2212 0 134 5188
HUTCHINSON 1052 0 76 2497
HYDE 218 0 25 592
JACKSON 319 0 34 687
JERAULD 468 0 30 624
JONES 137 0 18 509
KINGSBURY 1049 0 66 1612
LAKE 2331 0 99 2724
LAWRENCE 2797 0 282 6327
LINCOLN 3844 0 166 6546
LYMAN 482 0 29 875
MARSHALL 939 0 43 1097
MCCOOK 965 0 56 1610
MCPHERSON 295 0 49 1073
MEADE 2267 0 229 6870
MELLETTE 222 0 16 495
MINER 523 0 19 724
MINNEHAHA 27042 0 899 33428
MOODY 1318 0 56 1361
"OGLALA LAKOTA" 1667 0 34 252
PENNINGTON 11123 0 738 24696
PERKINS 297 0 80 1237
POTTER 356 0 26 1112
ROBERTS 1700 0 137 2237
SANBORN 468 0 33 767
SPINK 1274 0 53 1957
STANLEY 402 0 24 955
SULLY 209 0 29 633
TODD 993 0 23 478
TRIPP 799 0 57 1909
TURNER 1414 0 76 2514
UNION 2358 0 149 3265
WALWORTH 721 0 74 1758
YANKTON 3596 0 240 4904
ZIEBACH 314 0 23 384
