COUNTY DEM OTH REP
COUNTY Kerry_D Other_O Bush_R
AURORA 620 20 1009
BEADLE 3443 120 4917
BENNETT 759 38 833
"BON HOMME" 1293 52 2063
BROOKINGS 5443 270 7662
BROWN 7943 270 10386
BRULE 1040 45 1544
BUFFALO 603 15 223
BUTTE 1009 96 3166
CAMPBELL 239 12 708
"CHARLES MIX" 2155 87 2556
CLARK 875 17 1435
CLAY 3315 129 2692
CODINGTON 4803 170 7778
CORSON 972 32 720
CUSTER 1272 110 2922
DAVISON 3263 128 5561
DAY 1817 52 1671
DEUEL 961 45 1406
DEWEY 1606 37 921
DOUGLAS 393 23 1596
EDMUNDS 765 35 1434
"FALL RIVER" 1326 106 2413
FAULK 418 6 945
GRANT 1633 65 2392
GREGORY 813 48 1685
HAAKON 219 14 1007
HAMLIN 1015 50 1946
HAND 668 37 1482
HANSON 745 26 1379
HARDING 94 17 704
HUGHES 2697 121 6017
HUTCHINSON 1177 71 2899
HYDE 259 10 631
JACKSON 508 37 726
JERAULD 482 18 736
JONES 134 18 565
KINGSBURY 1163 47 1804
LAKE 2509 139 3359
LAWRENCE 3857 273 7489
LINCOLN 5703 202 11161
LYMAN 872 39 1029
MARSHALL 1099 23 1242
MCCOOK 1201 53 2017
MCPHERSON 369 30 1180
MEADE 2941 216 8347
MELLETTE 361 17 553
MINER 641 19 810
MINNEHAHA 32314 1129 44189
MOODY 1609 52 1790
"OGLALA LAKOTA" 3566 122 526
PENNINGTON 14213 779 29976
PERKINS 418 66 1329
POTTER 463 12 1143
ROBERTS 2527 59 2396
SANBORN 581 28 817
SPINK 1478 37 2259
STANLEY 464 30 1129
SULLY 201 14 702
TODD 2543 92 889
TRIPP 972 43 2230
TURNER 1646 104 3084
UNION 3000 61 3987
WALWORTH 878 35 1967
YANKTON 4237 191 6003
ZIEBACH 641 28 447
