COUNTY DEM LIB REP
COUNTY Biden_D Jorgensen_L Trump_R
AURORA 317 36 1052
BEADLE 2107 166 4808
BENNETT 466 23 694
"BON HOMME" 721 45 2235
BROOKINGS 6110 457 8000
BROWN 6538 429 10580
BRULE 673 67 1750
BUFFALO 352 14 183
BUTTE 939 132 3731
CAMPBELL 117 9 747
"CHARLES MIX" 1177 54 2552
CLARK 437 40 1373
CLAY 3083 159 2456
CODINGTON 3837 366 8958
CORSON 622 14 647
CUSTER 1522 120 3852
DAVISON 2648 193 5613
DAY 1052 43 1869
DEUEL 609 42 1699
DEWEY 1131 45 790
DOUGLAS 216 23 1468
EDMUNDS 417 30 1538
"FALL RIVER" 1053 111 2878
FAULK 198 20 964
GRANT 1056 71 2618
GREGORY 455 32 1771
HAAKON 105 6 1026
HAMLIN 647 64 2372
HAND 373 30 1433
HANSON 557 38 1793
HARDING 49 16 748
HUGHES 2953 248 5522
HUTCHINSON 762 61 2944
HYDE 136 10 564
JACKSON 359 18 738
JERAULD 270 15 721
JONES 90 11 498
KINGSBURY 819 56 1904
LAKE 2068 124 3681
LAWRENCE 4537 538 8753
LINCOLN 11981 798 19617
LYMAN 525 30 1042
MARSHALL 858 33 1287
MCCOOK 769 63 2068
MCPHERSON 222 27 1075
MEADE 3285 510 9875
MELLETTE 298 22 449
MINER 320 31 787
MINNEHAHA 40482 2595 49249
MOODY 1179 76 1951
"OGLALA LAKOTA" 2829 74 297
PENNINGTON 20606 1849 35063
PERKINS 239 29 1401
POTTER 227 14 1139
ROBERTS 1828 75 2404
SANBORN 257 23 905
SPINK 998 61 2104
STANLEY 421 28 1203
SULLY 185 19 726
TODD 1963 44 532
TRIPP 495 40 2161
TURNER 1139 119 3290
UNION 2725 186 5944
WALWORTH 565 49 1966
YANKTON 4016 303 6581
ZIEBACH 481 21 404
