COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ANDERSON 13556 316 219 14688
BEDFORD 6136 80 80 5911
BENTON 3700 62 65 2484
BLEDSOE 1756 35 25 2380
BLOUNT 14688 379 322 25273
BRADLEY 8768 271 237 20167
CAMPBELL 6492 74 71 5784
CANNON 2697 45 31 1924
CARROLL 5239 65 58 5465
CARTER 6724 157 110 12111
CHEATHAM 6062 139 59 6356
CHESTER 2192 25 24 3487
CLAIBORNE 3841 60 76 5023
CLAY 1931 19 24 1468
COCKE 3872 93 89 6185
COFFEE 8741 151 108 8788
CROCKETT 2705 42 17 2676
CUMBERLAND 7644 223 156 10994
DAVIDSON 120508 2920 1043 84117
DECATUR 2278 22 24 2046
DEKALB 3765 63 26 2411
DICKSON 8332 120 88 7016
DYER 5425 88 46 6282
FAYETTE 5037 44 46 6402
FENTRESS 2529 28 55 3417
FRANKLIN 7828 190 113 6560
GIBSON 8663 101 87 8286
GILES 5527 79 83 4377
GRAINGER 2361 46 41 3746
GREENE 7909 185 182 12540
GRUNDY 2970 37 36 1553
HAMBLEN 7564 181 130 11824
HAMILTON 51708 1290 776 66605
HANCOCK 690 17 25 1343
HARDEMAN 4953 38 83 3729
HARDIN 3735 49 47 4951
HAWKINS 6753 147 127 10071
HAYWOOD 3887 20 17 2554
HENDERSON 3166 46 34 5153
HENRY 6093 125 147 5944
HICKMAN 4239 58 53 2914
HOUSTON 2081 16 37 993
HUMPHREYS 4205 65 24 2387
JACKSON 3304 36 30 1384
JEFFERSON 5226 121 83 8657
JOHNSON 1813 54 50 3740
KNOX 60969 1772 994 86851
LAKE 1419 11 13 781
LAUDERDALE 4224 27 38 3329
LAWRENCE 6643 98 116 7613
LEWIS 2281 63 39 2037
LINCOLN 5060 72 92 5435
LOUDON 5905 132 103 10266
MACON 3059 30 36 3366
MADISON 15781 173 114 17862
MARION 5441 74 84 4651
MARSHALL 5107 94 53 4105
MAURY 11127 207 136 11930
MCMINN 6142 142 161 10155
MCNAIRY 4003 47 42 4897
MEIGS 1555 12 26 1797
MONROE 5327 78 84 7514
MONTGOMERY 18818 359 223 19644
MOORE 1107 27 22 1145
MORGAN 2921 39 58 3144
OBION 6056 99 117 6168
OVERTON 4507 46 68 2875
PERRY 1650 28 23 1165
PICKETT 939 12 7 1281
POLK 2574 46 67 2907
PUTNAM 10785 228 177 11248
RHEA 3722 74 76 5900
ROANE 9575 211 195 11345
ROBERTSON 10249 148 92 9675
RUTHERFORD 27360 1024 353 33445
SCOTT 2967 31 38 3579
SEQUATCHIE 1648 37 33 2169
SEVIER 8208 259 164 16734
SHELBY 190404 2860 1735 141756
SMITH 4884 42 38 2384
STEWART 2870 50 36 1826
SULLIVAN 21354 520 371 33482
SUMNER 22118 482 276 27601
TIPTON 6300 96 86 10070
TROUSDALE 1966 15 14 950
UNICOI 2566 40 43 3780
UNION 2564 30 28 3199
"VAN BUREN" 1255 8 23 845
WARREN 7378 105 96 5552
WASHINGTON 14769 375 219 22579
WAYNE 1859 43 34 3370
WEAKLEY 5570 91 77 6106
WHITE 4135 58 57 3525
WILLIAMSON 18745 536 247 38901
WILSON 16561 308 203 18844
