COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ANDERSON 11396 499 19675
BEDFORD 5027 263 10217
BENTON 2645 138 3696
BLEDSOE 1517 101 3166
BLOUNT 15253 821 35571
BRADLEY 9357 501 28333
CAMPBELL 3867 226 8535
CANNON 2011 124 3322
CARROLL 3980 211 7455
CARTER 5587 330 15852
CHEATHAM 5498 228 10702
CHESTER 1797 75 4587
CLAIBORNE 3078 167 7175
CLAY 1248 70 1676
COCKE 3340 196 8945
COFFEE 7132 408 13250
CROCKETT 1967 76 3994
CUMBERLAND 7889 387 17436
DAVIDSON 158423 3148 102915
DECATUR 1566 96 3101
DEKALB 2832 148 4085
DICKSON 7506 336 11677
DYER 4411 180 9859
FAYETTE 6892 189 12173
FENTRESS 1831 119 4789
FRANKLIN 6613 280 10539
GIBSON 7406 331 13516
GILES 4614 173 6902
GRAINGER 2066 140 5297
GREENE 7110 409 17151
GRUNDY 1971 98 2563
HAMBLEN 6807 354 15508
HAMILTON 64246 1572 81702
HANCOCK 604 49 1588
HARDEMAN 5919 93 5225
HARDIN 2794 164 7077
HAWKINS 5930 354 14756
HAYWOOD 4893 63 3165
HENDERSON 3021 144 7669
HENRY 5153 210 8182
HICKMAN 3563 151 4784
HOUSTON 1678 68 1608
HUMPHREYS 3600 162 3818
JACKSON 2224 92 2185
JEFFERSON 5178 262 13092
JOHNSON 1837 133 4621
KNOX 70215 2856 113015
LAKE 1024 39 1175
LAUDERDALE 4322 83 4933
LAWRENCE 5161 293 10566
LEWIS 1804 79 2951
LINCOLN 3695 204 9231
LOUDON 6058 311 15815
MACON 2060 155 5145
MADISON 20209 347 23290
MARION 4506 185 6746
MARSHALL 4320 214 6755
MAURY 13058 421 20288
MCMINN 5541 259 12989
MCNAIRY 3131 156 7135
MEIGS 1372 68 2797
MONROE 5053 240 11484
MONTGOMERY 25716 627 30175
MOORE 881 61 2010
MORGAN 1969 136 4717
OBION 4308 211 8873
OVERTON 3419 176 4497
PERRY 1329 75 1596
PICKETT 854 31 1786
POLK 2124 110 4267
PUTNAM 9739 476 17101
RHEA 2907 157 8042
ROANE 7224 394 15658
ROBERTSON 9318 393 17903
RUTHERFORD 40460 1385 59892
SCOTT 1720 132 4931
SEQUATCHIE 1717 110 3610
SEVIER 8604 415 24922
SHELBY 256297 2800 145458
SMITH 2992 186 4563
STEWART 2470 81 2956
SULLIVAN 18354 835 44808
SUMNER 21487 792 44949
TIPTON 7931 220 17165
TROUSDALE 1475 76 1688
UNICOI 2107 105 5011
UNION 1829 103 4467
"VAN BUREN" 849 63 1294
WARREN 5515 323 8562
WASHINGTON 15941 700 32341
WAYNE 1355 96 4076
WEAKLEY 4596 239 8855
WHITE 3372 172 6103
WILLIAMSON 27886 902 64858
WILSON 15886 678 34595
