COUNTY REP DEM OTHER
COUNTY Abbott O'Rourke Other
Anderson 11762 2545 138
Andrews 3302 479 48
Angelina 19142 5174 279
Aransas 7581 1924 136
Archer 3498 315 35
Armstrong 833 60 10
Atascosa 8801 3709 189
Austin 9209 1873 123
Bailey 1105 213 15
Bandera 8527 1816 137
Bastrop 16707 12007 518
Baylor 1183 105 19
Bee 4347 1976 85
Bell 51888 34785 1263
Bexar 221993 311023 7752
Blanco 5142 1522 110
Borden 306 9 2
Bosque 6278 1099 91
Bowie 20206 6060 310
Brazoria 64938 43364 1634
Brazos 35768 23103 1083
Brewster 2014 1678 71
Briscoe 539 49 4
Brooks 785 1204 19
Brown 10853 1308 124
Burleson 5506 1142 64
Burnet 16505 4337 269
Caldwell 6351 4790 217
Calhoun 4228 1292 72
Callahan 4770 444 52
Cameron 34290 41667 1138
Camp 3082 863 38
Carson 2177 183 34
Cass 8415 1460 94
Castro 1226 239 28
Chambers 12964 2559 213
Cherokee 12023 2323 137
Childress 1562 162 27
Clay 4052 393 42
Cochran 506 95 15
Coke 1260 114 15
Coleman 2942 269 28
Collin 198236 161737 4806
Collingsworth 845 75 5
Colorado 6084 1395 67
Comal 54503 19195 1065
Comanche 4203 567 56
Concho 818 109 16
Cooke 12815 2308 202
Coryell 11652 4450 266
Cottle 453 54 7
Crane 983 150 14
Crockett 964 276 33
Crosby 990 255 9
Culberson 391 328 17
Dallam 958 78 14
Dallas 224684 392634 8073
Dawson 2088 402 26
"Deaf Smith" 2281 635 31
Delta 1711 295 21
Denton 177017 136389 4375
Dewitt 5151 878 32
Dickens 684 98 9
Dimmit 1080 1757 39
Donley 1084 97 11
Duval 1600 2018 58
Eastland 5468 634 48
Ector 19212 5950 287
Edwards 712 99 3
Ellis 45564 21338 868
"El Paso" 57573 105156 2717
Erath 10956 1976 183
Falls 3480 1168 55
Fannin 9694 1831 140
Fayette 8649 1748 103
Fisher 1172 210 19
Floyd 1250 201 16
Foard 452 69 8
"Fort Bend" 117249 129116 3701
Franklin 3369 512 36
Freestone 5600 991 70
Frio 1872 1791 65
Gaines 3761 311 41
Galveston 68822 40229 1683
Garza 1056 135 9
Gillespie 10801 2421 167
Glasscock 542 27 3
Goliad 2664 663 39
Gonzales 4369 1129 68
Gray 5013 478 67
Grayson 34903 9563 525
Gregg 24223 8662 330
Grimes 7607 1732 93
Guadalupe 36882 19356 964
Hale 5094 1165 70
Hall 772 94 11
Hamilton 3006 433 37
Hansford 1419 91 12
Hardeman 866 114 5
Hardin 17447 2035 147
Harris 490261 595653 16504
Harrison 16472 4688 196
Hartley 1463 96 15
Haskell 1465 191 14
Hays 39085 48970 1628
Hemphill 1198 138 25
Henderson 22909 4798 295
Hidalgo 56783 82671 1742
Hill 9418 1830 137
Hockley 4690 786 55
Hood 22596 4301 331
Hopkins 10223 1999 129
Houston 5726 1399 59
Howard 5367 1077 124
Hudspeth 606 270 30
Hunt 23744 6422 374
Hutchinson 5437 540 85
Irion 618 70 7
Jack 2744 227 22
Jackson 4013 550 34
Jasper 9701 1601 77
"Jeff Davis" 641 374 35
Jefferson 34988 26641 822
"Jim Hogg" 650 876 16
"Jim Wells" 5063 4375 105
Johnson 42954 12266 644
Jones 4349 581 62
Karnes 3007 776 35
Kaufman 28306 14024 501
Kendall 17719 4506 332
Kenedy 109 42 2
Kent 312 34 4
Kerr 17524 4648 308
Kimble 1666 188 22
King 100 3 0
Kinney 907 258 29
Kleberg 4074 3463 92
Knox 889 140 11
Lamar 12521 2657 164
Lamb 2628 419 33
Lampasas 6625 1502 124
Lasalle 761 662 14
Lavaca 7380 759 70
Lee 5108 1095 79
Leon 6082 698 83
Liberty 16080 3488 223
Limestone 5390 1366 95
Lipscomb 894 69 14
"Live Oak" 3424 545 31
Llano 8977 1920 132
Loving 70 6 3
Lubbock 58163 24497 1108
Lynn 1502 196 29
Mcculloch 2221 314 28
Mclennan 47875 23765 950
Mcmullen 343 28 1
Madison 3272 595 40
Marion 2557 700 45
Martin 1341 149 18
Mason 1703 268 20
Matagorda 7350 2273 98
Maverick 3862 5555 166
Medina 12601 4591 174
Menard 659 110 6
Midland 32389 7154 510
Milam 6717 1559 82
Mills 1894 198 29
Mitchell 1576 185 20
Montague 7004 765 83
Montgomery 152694 52654 2707
Moore 3081 479 43
Morris 3041 921 34
Motley 482 18 4
Nacogdoches 13248 5480 222
Navarro 10830 3157 146
Newton 3660 689 24
Nolan 3093 647 63
Nueces 47567 40474 1260
Ochiltree 1975 135 16
Oldham 710 50 10
Orange 21153 3722 224
"Palo Pinto" 7896 1486 107
Panola 7039 1213 61
Parker 52523 10123 791
Parmer 1546 202 20
Pecos 2548 1043 91
Polk 13377 3229 170
Potter 16082 5361 363
Presidio 561 1133 30
Rains 4339 596 52
