COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ANDERSON 4630 141 11884
ANDREWS 790 23 3816
ANGELINA 9379 205 19569
ARANSAS 3006 79 6693
ARCHER 740 30 3595
ARMSTRONG 128 6 856
ATASCOSA 4415 61 5462
AUSTIN 2821 114 8786
BAILEY 682 16 1618
BANDERA 2250 112 6935
BASTROP 11687 414 13817
BAYLOR 366 15 1262
BEE 3645 41 4471
BELL 40413 679 49242
BEXAR 275527 3913 246275
BLANCO 1467 54 3418
BORDEN 40 5 316
BOSQUE 1797 87 5762
BOWIE 10815 209 24162
BRAZORIA 36480 945 67515
BRAZOS 20502 706 37465
BREWSTER 1970 75 1855
BRISCOE 205 8 617
BROOKS 1747 6 556
BROWN 2822 141 12052
BURLESON 2053 65 4547
BURNET 4608 226 12059
CALDWELL 5403 138 6107
CALHOUN 2729 44 4106
CALLAHAN 1063 64 4589
CAMERON 48480 506 26671
CAMP 1734 35 2798
CARSON 406 26 2548
CASS 3490 77 8279
CASTRO 719 10 1562
CHAMBERS 3188 116 9988
CHEROKEE 4610 112 11695
CHILDRESS 497 17 1782
CLAY 1085 41 4213
COCHRAN 284 15 758
COKE 299 18 1252
COLEMAN 643 48 3011
COLLIN 109047 2639 184897
COLLINGSWORTH 234 18 943
COLORADO 2508 50 5795
COMAL 12384 541 35233
COMANCHE 1334 70 3813
CONCHO 257 13 807
COOKE 3051 110 11871
CORYELL 6619 163 11550
COTTLE 187 9 509
CRANE 319 16 1119
CROCKETT 512 7 1026
CROSBY 684 9 1221
CULBERSON 492 10 257
DALLAM 302 18 1269
DALLAS 422989 5474 310000
DAWSON 1152 38 2906
"DEAF SMITH" 1247 31 3466
DELTA 589 18 1580
DENTON 91160 2168 149935
DEWITT 1716 22 4888
DICKENS 234 8 730
DIMMIT 2692 21 874
DONLEY 291 25 1374
DUVAL 3298 35 1076
EASTLAND 1271 73 5165
ECTOR 9123 284 26199
EDWARDS 346 16 673
"EL PASO" 122021 1429 61783
ELLIS 15333 442 38078
ERATH 3128 123 10768
FALLS 2225 46 3328
FANNIN 3464 138 8092
FAYETTE 3014 118 7582
FISHER 687 14 1083
FLOYD 730 7 1784
FOARD 198 13 327
"FORT BEND" 98368 1248 103206
FRANKLIN 1036 63 3392
FREESTONE 2034 49 5205
FRIO 2405 13 1644
GAINES 650 32 3385
GALVESTON 41805 941 62258
GARZA 375 19 1356
GILLESPIE 2576 199 9563
GLASSCOCK 52 3 502
GOLIAD 1329 28 2298
GONZALES 2167 44 4076
GRAY 1153 56 6924
GRAYSON 13900 441 31136
GREGG 13166 241 29203
GRIMES 2704 56 5562
GUADALUPE 16156 436 30869
HALE 2708 64 7171
HALL 324 10 930
HAMILTON 863 39 2876
HANSFORD 240 15 1847
HARDEMAN 373 23 1199
HARDIN 3939 160 16603
HARRIS 590982 8607 571883
HARRISON 8887 168 17103
HARTLEY 250 24 1711
HASKELL 699 29 1388
HAYS 28431 983 29638
HEMPHILL 216 9 1345
HENDERSON 7913 223 20857
HIDALGO 90261 855 39668
HILL 3811 113 9264
HOCKLEY 1797 53 5795
