COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ANDERSON 3955 22 134 6 15110
ANDREWS 850 10 60 0 4943
ANGELINA 9143 75 274 6 25076
ARANSAS 2916 31 103 1 9239
ARCHER 446 4 45 1 4300
ARMSTRONG 75 0 2 0 1035
ATASCOSA 5876 58 143 2 12039
AUSTIN 2951 33 123 0 11447
BAILEY 409 2 14 1 1434
BANDERA 2505 30 120 3 10057
BASTROP 15474 128 531 16 20516
BAYLOR 183 1 22 2 1494
BEE 3288 27 93 6 6006
BELL 57014 440 1980 48 67893
BEXAR 448452 2798 8837 2113 308618
BLANCO 1911 15 72 0 5443
BORDEN 16 1 2 0 397
BOSQUE 1561 13 83 0 7469
BOWIE 10747 91 300 7 27116
BRAZORIA 62228 417 1860 46 90433
BRAZOS 35349 252 1812 118 47530
BREWSTER 2258 14 89 0 2461
BRISCOE 78 1 7 0 639
BROOKS 1470 6 10 0 998
BROWN 2107 24 134 6 13698
BURLESON 1788 15 63 0 6743
BURNET 5639 34 268 9 18767
CALDWELL 6672 47 190 33 8031
CALHOUN 2148 6 61 0 5641
CALLAHAN 734 15 71 0 6012
CAMERON 64063 336 728 15 49032
CAMP 1394 7 31 2 3626
CARSON 297 3 37 6 2779
CASS 2795 17 79 3 11033
CASTRO 466 6 9 0 1602
CHAMBERS 3997 50 250 2 17353
CHEROKEE 4210 36 161 0 15101
CHILDRESS 310 8 18 0 1943
CLAY 614 12 46 3 5069
COCHRAN 177 3 11 0 809
COKE 178 5 10 0 1586
COLEMAN 451 9 23 0 3641
COLLIN 230945 1246 6075 272 252318
COLLINGSWORTH 155 1 12 2 1048
COLORADO 2420 19 50 14 7472
COMAL 24826 191 1106 29 62740
COMANCHE 853 5 49 2 5177
CONCHO 197 3 10 0 1058
COOKE 3210 26 156 8 15596
CORYELL 7565 77 410 3 15438
COTTLE 113 3 6 0 540
CRANE 241 4 10 1 1247
CROCKETT 344 1 9 0 1220
CROSBY 527 8 22 0 1396
CULBERSON 438 2 9 0 415
DALLAM 197 5 18 0 1389
DALLAS 598576 3667 9635 550 307076
DAWSON 808 5 25 0 2951
"DEAF SMITH" 1264 17 35 0 3294
DELTA 403 3 24 0 2162
DENTON 188695 1092 5421 276 222480
DEWITT 1494 11 46 0 6567
DICKENS 130 2 3 0 853
DIMMIT 2264 8 10 0 1384
DONLEY 198 1 11 0 1438
DUVAL 2575 13 22 0 2443
EASTLAND 983 12 60 1 7237
ECTOR 11367 89 428 10 32697
EDWARDS 168 0 5 0 893
"EL PASO" 178126 1445 2746 81 84331
ELLIS 27565 220 954 37 56717
ERATH 2916 35 218 3 13684
FALLS 1899 13 44 0 4177
FANNIN 2655 23 155 3 12171
FAYETTE 2661 26 83 0 10171
FISHER 352 5 21 0 1448
FLOYD 438 2 15 0 1584
FOARD 99 1 6 0 445
"FORT BEND" 195552 1091 3028 125 157718
FRANKLIN 804 8 36 0 4161
FREESTONE 1635 18 67 0 6991
FRIO 2422 11 23 0 2823
GAINES 576 10 54 1 5355
GALVESTON 58842 393 1913 1 93911
GARZA 231 4 5 0 1413
GILLESPIE 3176 16 140 4 12514
GLASSCOCK 39 0 3 0 611
GOLIAD 877 2 24 7 3085
GONZALES 1948 15 57 1 5627
GRAY 829 16 97 0 6840
GRAYSON 14506 136 634 35 44163
GREGG 14796 113 551 29 32493
GRIMES 2833 30 118 1 9432
GUADALUPE 28805 211 1023 27 47553
HALE 2279 31 97 2 7177
HALL 168 1 4 1 995
HAMILTON 641 40 52 2 3616
HANSFORD 166 3 27 2 1849
HARDEMAN 241 0 9 0 1330
HARDIN 3474 27 276 0 23858
HARRIS 918193 5129 16819 47 700630
HARRISON 7908 42 294 7 21466
HARTLEY 195 1 14 0 1868
HASKELL 353 6 15 0 1840
HAYS 59524 418 1735 38 47680
HEMPHILL 206 3 25 0 1486
HENDERSON 7060 75 264 7 28911
HIDALGO 128199 865 1261 32 90527
HILL 2860 26 119 0 11926
HOCKLEY 1482 16 61 5 6536
HOOD 5648 71 319 7 26496
HOPKINS 3046 31 143 2 12719
HOUSTON 2314 7 56 1 7060
HOWARD 2069 28 89 1 8054
HUDSPETH 371 5 10 0 779
HUNT 8906 71 434 23 29163
HUTCHINSON 965 10 115 2 7681
IRION 120 2 8 0 759
JACK 331 9 24 0 3418
JACKSON 1033 23 53 13 5231
JASPER 2954 7 105 3 12542
"JEFF DAVIS" 501 3 17 0 784
JEFFERSON 46073 199 897 20 47570
"JIM HOGG" 1197 2 4 0 833
"JIM WELLS" 6119 28 69 0 7453
JOHNSON 16464 142 771 15 54628
JONES 999 19 63 0 5660
KARNES 1234 17 30 3 3968
KAUFMAN 18405 146 528 15 37624
KENDALL 6020 46 289 14 20083
KENEDY 65 1 1 0 127
KENT 47 3 1 0 411
KERR 6524 51 283 8 20879
KIMBLE 284 4 17 0 1987
KING 8 0 0 0 151
KINNEY 446 2 11 0 1144
KLEBERG 5314 29 97 0 5504
KNOX 265 4 7 0 1180
"LA SALLE" 1052 7 12 0 1335
LAMAR 4458 28 172 24 16760
LAMB 840 7 40 2 3521
LAMPASAS 2144 24 145 0 8086
LAVACA 1333 8 46 6 8804
LEE 1750 16 65 1 6255
LEON 1072 14 57 8 7523
LIBERTY 5785 29 218 0 23302
LIMESTONE 2213 27 66 0 6789
LIPSCOMB 131 0 17 0 1205
"LIVE OAK" 819 6 30 0 4199
LLANO 2465 16 99 1 10079
LOVING 4 0 2 0 60
LUBBOCK 40017 276 1617 46 78861
LYNN 428 2 10 0 1853
MADISON 1088 10 30 1 4169
MARION 1339 8 47 0 3470
MARTIN 288 2 13 0 1857
MASON 457 2 19 5 1991
MATAGORDA 3733 33 115 1 9845
MAVERICK 8332 60 73 0 6881
MCCULLOCH 490 6 36 0 2904
MCLENNAN 36688 243 1297 101 59543
MCMULLEN 53 1 2 0 460
MEDINA 6773 45 184 13 15642
MENARD 197 2 6 0 823
MIDLAND 12329 126 777 3 45624
MILAM 2496 24 72 2 7984
MILLS 271 2 15 0 2217
MITCHELL 397 1 11 0 2170
MONTAGUE 1097 24 78 5 8615
MONTGOMERY 74377 526 3166 92 193382
MOORE 1062 21 66 0 4359
MORRIS 1669 10 36 0 3872
MOTLEY 46 0 2 0 604
NACOGDOCHES 9000 83 302 22 17378
NAVARRO 5101 53 167 2 13800
NEWTON 1173 5 34 0 4882
NOLAN 1162 10 53 1 4131
NUECES 60925 368 1404 8 64617
OCHILTREE 302 3 37 2 2812
OLDHAM 81 1 10 0 917
ORANGE 6357 51 376 24 29186
"PALO PINTO" 2178 27 101 4 10179
PANOLA 2057 11 57 0 9326
PARKER 13017 158 880 28 62045
PARMER 488 4 23 0 2135
PECOS 1382 21 50 0 3215
POLK 5387 50 171 5 18573
POTTER 9921 126 454 16 22820
PRESIDIO 1463 12 21 0 721
RAINS 842 13 43 0 5155
RANDALL 12802 129 910 37 50796
REAGAN 172 3 7 0 942
REAL 320 5 14 0 1643
"RED RIVER" 1246 7 36 0 4517
REEVES 1395 8 30 2 2254
REFUGIO 1108 21 26 1 2210
ROBERTS 17 0 4 0 529
ROBERTSON 2374 13 66 0 5646
ROCKWALL 16412 121 611 21 36726
RUNNELS 552 11 39 0 3807
RUSK 4629 50 155 9 16534
SABINE 669 7 27 4 4784
"SAN AUGUSTINE" 980 2 13 0 3007
"SAN JACINTO" 2337 39 101 2 10161
"SAN PATRICIO" 8988 93 291 3 16516
"SAN SABA" 287 0 7 0 2308
SCHLEICHER 211 2 6 0 940
SCURRY 818 15 53 1 4983
SHACKELFORD 130 4 10 0 1484
SHELBY 2068 4 37 3 7975
SHERMAN 91 5 9 1 886
SMITH 29615 254 1126 14 69080
SOMERVELL 768 10 56 8 4105
STARR 9123 63 92 0 8247
STEPHENS 397 2 16 0 3385
STERLING 51 3 1 0 584
STONEWALL 116 1 4 0 615
SUTTON 322 4 9 0 1222
SWISHER 478 10 22 0 1845
TARRANT 411567 2617 10368 404 409741
TAYLOR 14588 150 827 23 39547
TERRELL 119 2 3 0 334
TERRY 757 10 33 0 2812
THROCKMORTON 82 1 5 0 806
TITUS 2856 19 94 2 7570
"TOM GREEN" 12239 96 546 16 32313
TRAVIS 435860 2094 8905 379 161337
TRINITY 1323 11 25 0 5579
TYLER 1403 11 52 0 8194
UPSHUR 2877 22 179 5 15809
UPTON 170 7 13 0 1178
UVALDE 4073 29 66 2 6174
"VAL VERDE" 6771 47 170 8 8284
"VAN ZANDT" 3516 33 175 35 22270
VICTORIA 10380 103 339 8 23358
WALKER 7884 63 287 3 15375
WALLER 8191 82 201 0 14260
WARD 764 26 29 0 3241
WASHINGTON 4261 20 178 9 12959
WEBB 41820 233 446 0 25898
WHARTON 4694 36 105 0 11926
WHEELER 168 3 7 0 2159
WICHITA 13161 125 675 10 32069
WILBARGER 956 11 33 0 3524
WILLACY 3108 0 0 0 2441
WILLIAMSON 143795 790 4998 243 139729
WILSON 6350 39 151 10 18463
WINKLER 358 1 14 0 1753
WISE 4973 47 310 3 27032
WOOD 3509 40 175 6 19049
YOAKUM 420 6 31 0 2174
YOUNG 1034 18 76 1 7110
ZAPATA 1826 4 11 0 2033
ZAVALA 2864 12 13 0 1490
