COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
BEAVER 541 38 20 1653
"BOX ELDER" 2555 326 314 12288
CACHE 5170 1511 541 25920
CARBON 3298 213 115 3758
DAGGETT 104 9 5 317
DAVIS 18845 2891 1744 64375
DUCHESNE 779 76 69 3622
EMERY 958 81 116 3243
GARFIELD 178 43 28 1719
GRAND 1158 540 94 1822
IRON 1789 341 358 10106
JUAB 619 60 83 2023
KANE 387 102 59 2254
MILLARD 696 73 156 3850
MORGAN 553 80 74 2464
PIUTE 133 10 12 626
RICH 152 10 5 736
"SALT LAKE" 107576 21252 6845 171585
"SAN JUAN" 1838 107 78 2721
SANPETE 1211 153 285 5781
SEVIER 1046 125 143 5763
SUMMIT 4601 1156 196 6168
TOOELE 4001 387 285 7807
UINTAH 1387 132 145 6733
UTAH 16445 2732 2824 98255
WASATCH 1476 259 121 3819
WASHINGTON 5465 714 801 25481
WAYNE 202 58 12 953
WEBER 19890 2371 1227 39254
