COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
BEAVER 264 389 1838
"BOX ELDER" 2282 5223 12230
CACHE 8563 16455 21139
CARBON 1717 960 5275
DAGGETT 77 66 331
DAVIS 28776 47416 62219
DUCHESNE 500 934 5508
EMERY 380 484 3425
GARFIELD 358 380 1606
GRAND 1960 598 1975
IRON 2450 3643 11561
JUAB 442 908 2827
KANE 741 499 2265
MILLARD 431 951 3860
MORGAN 577 1427 3188
PIUTE 47 56 626
RICH 104 208 797
"SALT LAKE" 175863 104962 138043
"SAN JUAN" 2042 760 2645
SANPETE 1061 2430 6673
SEVIER 695 1219 6740
SUMMIT 10503 2805 7333
TOOELE 4573 6087 11169
UINTAH 995 1992 9810
UTAH 28522 70847 102182
WASATCH 3063 2942 6115
WASHINGTON 10288 9025 42650
WAYNE 271 184 966
WEBER 23131 21673 40235
