COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
BEAVER 357 6 23 19 2695
"BOX ELDER" 4473 55 614 333 21548
CACHE 16650 217 1796 1663 38032
CARBON 2392 18 151 115 6693
DAGGETT 111 0 7 5 496
DAVIS 57411 597 5004 2667 104135
DUCHESNE 843 9 107 90 7512
EMERY 572 8 47 64 4207
GARFIELD 514 11 37 12 2158
GRAND 2806 23 62 46 2248
IRON 4892 78 666 479 18989
JUAB 645 5 91 37 5087
KANE 1083 8 51 40 2998
MILLARD 624 5 64 93 5404
MORGAN 1086 13 160 166 5181
PIUTE 86 0 7 5 773
RICH 180 2 14 16 1157
"SALT LAKE" 289906 2203 12219 12079 230174
"SAN JUAN" 3113 17 99 113 3535
SANPETE 1794 19 215 138 10459
SEVIER 1084 14 133 79 9052
SUMMIT 15244 65 367 158 10252
TOOELE 8943 81 958 510 21014
UINTAH 1663 29 226 124 13261
UTAH 76033 853 10377 4211 192812
WASATCH 6187 45 352 411 10795
WASHINGTON 20530 187 1742 1317 67294
WAYNE 365 3 9 15 1229
WEBER 40695 482 2849 1428 65949
