COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ACCOMACK 5092 220 261 6352
ALBEMARLE 16255 2043 257 18291
ALEXANDRIA 33633 2094 429 19043
ALLEGHANY 2214 62 39 2808
AMELIA 1754 40 47 2947
AMHERST 4812 135 105 6660
APPOMATTOX 2132 62 79 3654
ARLINGTON 50260 3952 792 28555
AUGUSTA 6643 527 357 17744
BATH 822 35 42 1311
BEDFORD 9238 414 445 18493
BLAND 851 42 36 1759
BOTETOURT 4627 207 139 8867
BRISTOL 2646 89 49 3495
BRUNSWICK 3387 28 21 2561
BUCHANAN 5745 65 179 3867
BUCKINGHAM 2561 96 59 2738
"BUENA VISTA" 941 27 27 980
CAMPBELL 6659 236 270 13162
CAROLINE 4314 102 62 3873
CARROLL 3638 126 95 7142
"CHARLES CITY" 1981 31 31 1023
CHARLOTTE 2017 43 79 2855
CHARLOTTESVILLE 7762 1196 232 4034
CHESAPEAKE 33578 732 591 39684
CHESTERFIELD 38638 1646 743 69924
CLARKE 2166 195 40 2883
"COLONIAL HEIGHTS" 2100 123 40 5519
COVINGTON 1168 24 56 966
CRAIG 851 39 23 1580
CULPEPER 4364 253 187 7440
CUMBERLAND 1405 35 93 1974
DANVILLE 8221 168 491 9427
DICKENSON 3951 85 68 3122
DINWIDDIE 4001 74 102 4959
EMPORIA 1116 17 9 938
ESSEX 1750 59 27 1995
FAIRFAX 200862 12553 2973 206943
"FALLS CHURCH" 3109 285 68 2131
FAUQUIER 8296 570 159 14456
FLOYD 1957 244 115 3423
FLUVANNA 3431 252 61 4962
FRANKLIN 8908 328 166 12618
FREDERICK 7158 483 177 14574
FREDERICKSBURG 3360 326 60 2935
GALAX 996 42 15 1160
GILES 3004 137 105 3574
GLOUCESTER 4553 225 203 8718
GOOCHLAND 3197 139 63 5378
GRAYSON 2467 102 47 4236
GREENE 1774 194 69 3375
GREENSVILLE 2314 13 14 1565
HALIFAX 5963 110 267 7732
HAMPTON 27490 563 273 19561
HANOVER 12044 711 216 28614
HARRISONBURG 3482 641 94 5741
HENRICO 48645 1893 827 62887
HENRY 8898 234 461 11870
HIGHLAND 453 32 10 942
HOPEWELL 3024 73 132 3749
"ISLE OF WIGHT" 5162 123 78 7587
"JAMES CITY" 9090 639 135 14628
"KING AND QUEEN" 1387 33 16 1423
"KING GEORGE" 2070 132 60 3590
"KING WILLIAM" 2125 74 23 3547
LANCASTER 1937 88 19 3411
LEE 4031 79 87 4551
LEXINGTON 1048 103 32 957
LOUDOUN 30938 1665 597 42453
LOUISA 4309 222 104 5461
LUNENBURG 2026 33 22 2510
LYNCHBURG 10374 441 173 12518
MADISON 1844 148 95 2940
MANASSAS 5262 230 166 6752
"MANASSAS PARK" 1048 51 21 1460
MARTINSVILLE 3048 59 27 2560
MATHEWS 1499 88 71 2951
MECKLENBURG 4797 104 153 6600
MIDDLESEX 1671 84 90 2844
MONTGOMERY 11720 1222 227 13991
NELSON 2907 273 52 2913
"NEW KENT" 2055 81 44 3934
"NEWPORT NEWS" 29779 722 318 27006
NORFOLK 38221 1153 652 21920
NORTHAMPTON 2340 108 145 2299
NORTHUMBERLAND 2118 97 28 3362
NORTON 867 20 4 639
NOTTOWAY 2460 46 116 2870
ORANGE 4126 236 130 5991
PAGE 2726 143 38 5089
PATRICK 2254 101 129 4901
PETERSBURG 8751 117 85 2109
PITTSYLVANIA 7834 207 454 15760
POQUOSON 1448 93 49 4271
PORTSMOUTH 22286 348 193 12628
POWHATAN 2708 122 61 6820
"PRINCE EDWARD" 2922 115 112 3214
"PRINCE GEORGE" 4182 97 42 6579
"PRINCE WILLIAM" 44745 1927 1051 52788
PULASKI 5255 207 146 7089
RADFORD 2063 172 23 2190
RAPPAHANNOCK 1462 161 40 1850
RICHMOND 43793 2469 564 22049
ROANOKE 34061 1284 544 40370
ROCKBRIDGE 2953 248 104 4522
ROCKINGHAM 5834 539 139 17482
RUSSELL 5442 102 183 5065
SALEM 4348 181 53 6188
SCOTT 3552 85 163 5535
SHENANDOAH 4420 294 102 9636
SMYTH 4836 131 193 6580
SOUTHAMPTON 3359 44 18 3293
SPOTSYLVANIA 13455 586 241 20739
STAFFORD 12596 657 262 20731
STAUNTON 3324 278 34 4878
SUFFOLK 12471 199 155 11836
SURRY 1845 29 43 1313
SUSSEX 2006 41 114 1745
TAZEWELL 7227 162 300 8655
"VIRGINIA BEACH" 62268 2370 1459 83674
WARREN 4313 260 258 6335
WASHINGTON 7549 288 321 12064
WAYNESBORO 2737 233 48 4084
WESTMORELAND 2922 88 84 2932
WILLIAMSBURG 1724 188 36 1777
WINCHESTER 3318 209 45 4314
WISE 6412 160 234 6504
WYTHE 3462 132 92 6539
YORK 8622 480 169 15312
