COUNTY DEM OTH REP
COUNTY Clinton_D Other_O Trump_R
ACCOMACK 6740 495 8583
ALBEMARLE 33345 4122 19259
ALEXANDRIA 57242 5243 13285
ALLEGHANY 2166 285 4874
AMELIA 2128 204 4708
AMHERST 5057 620 9719
APPOMATTOX 2023 273 5715
ARLINGTON 92016 9154 20186
AUGUSTA 8177 2003 26163
BATH 603 102 1548
BEDFORD 9768 2098 30659
BLAND 453 113 2573
BOTETOURT 4494 870 13375
BRISTOL 1835 305 4892
BRUNSWICK 4481 142 3046
BUCHANAN 1721 230 7296
BUCKINGHAM 3128 217 3950
"BUENA VISTA" 693 284 1430
CAMPBELL 6664 1320 19551
CAROLINE 6432 1284 7147
CARROLL 2559 446 10663
"CHARLES CITY" 2496 135 1476
CHARLOTTE 2155 174 3479
CHARLOTTESVILLE 17901 1611 2960
CHESAPEAKE 52627 6031 54047
CHESTERFIELD 81074 10342 85045
CLARKE 3051 501 4661
"COLONIAL HEIGHTS" 2367 409 5681
COVINGTON 914 119 1349
CRAIG 541 113 2140
CULPEPER 7759 1110 13349
CUMBERLAND 2036 173 2697
DANVILLE 11059 590 7303
DICKENSON 1335 173 4932
DINWIDDIE 5765 363 7447
EMPORIA 1530 48 789
ESSEX 2542 209 2657
FAIRFAX 362500 39301 161412
"FALLS CHURCH" 5819 614 1324
FAUQUIER 12971 2369 22127
FLOYD 2300 458 5293
FLUVANNA 5760 812 7025
FRANKLIN 9776 1275 19990
FREDERICK 11932 2425 26083
FREDERICKSBURG 6707 813 3744
GALAX 681 92 1603
GILES 1950 352 5910
GLOUCESTER 5404 1119 13096
GOOCHLAND 4889 764 8384
GRAYSON 1407 286 5592
GREENE 2924 739 5945
GREENSVILLE 2558 68 1737
HALIFAX 6897 400 9704
HAMPTON 41312 3142 17902
HANOVER 19382 3741 39630
HARRISONBURG 10212 1519 6262
HENRICO 93935 9862 59857
HENRY 8198 700 15208
HIGHLAND 371 62 958
HOPEWELL 4724 399 3885
"ISLE OF WIGHT" 7881 990 12204
"JAMES CITY" 19105 2762 21306
"KING AND QUEEN" 1468 130 2099
"KING GEORGE" 4007 711 7341
"KING WILLIAM" 2760 426 5975
LANCASTER 2869 253 3523
LEE 1627 229 7543
LEXINGTON 1514 185 766
LOUDOUN 100795 12353 69949
LOUISA 6212 891 10528
LUNENBURG 2227 155 3204
LYNCHBURG 14792 2897 17982
MADISON 2203 357 4419
MANASSAS 8423 1035 5953
"MANASSAS PARK" 3204 295 1733
MARTINSVILLE 3533 225 2149
MATHEWS 1563 231 3517
MECKLENBURG 6285 372 8288
MIDDLESEX 2108 239 3670
MONTGOMERY 20021 3551 19459
NELSON 3689 475 4154
"NEW KENT" 3546 578 8118
"NEWPORT NEWS" 45618 4629 25468
NORFOLK 57023 4813 21552
NORTHAMPTON 3255 231 2686
NORTHUMBERLAND 2852 244 4302
NORTON 383 56 1021
NOTTOWAY 2829 203 3712
ORANGE 5957 792 10521
PAGE 2514 395 7831
PATRICK 1768 303 6454
PETERSBURG 12021 314 1451
PITTSYLVANIA 9199 845 21554
POQUOSON 1601 484 5092
PORTSMOUTH 28497 1973 12795
POWHATAN 4060 955 11885
"PRINCE EDWARD" 4591 451 4101
"PRINCE GEORGE" 6419 608 9157
"PRINCE WILLIAM" 113144 11673 71721
PULASKI 4172 673 10322
RADFORD 2925 522 2638
RAPPAHANNOCK 1747 197 2539
RICHMOND 82606 6745 17794
ROANOKE 39486 5272 46197
ROCKBRIDGE 3508 607 6680
ROCKINGHAM 9366 2131 25990
RUSSELL 2330 395 9521
SALEM 4202 797 7226
SCOTT 1581 272 8247
SHENANDOAH 5273 1146 14094
SMYTH 2665 475 9750
SOUTHAMPTON 3595 248 5035
SPOTSYLVANIA 24207 3732 34623
STAFFORD 27908 4158 33868
STAUNTON 5333 789 5133
SUFFOLK 23280 1954 18006
SURRY 2272 137 1819
SUSSEX 2879 110 2055
TAZEWELL 2895 503 15168
"VIRGINIA BEACH" 91032 14006 98224
WARREN 5169 1018 11773
WASHINGTON 5553 974 19320
WAYNESBORO 3764 639 4801
WESTMORELAND 3836 290 4448
WILLIAMSBURG 5206 495 1925
WINCHESTER 5164 713 4790
WISE 2701 376 12086
WYTHE 2770 527 10046
YORK 12999 2282 18837
