COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ACCOMACK 7578 188 24 9172
ALBEMARLE 42466 1014 373 20804
"ALEXANDRIA CITY" 66240 1022 715 14544
ALLEGHANY 2243 89 12 5859
AMELIA 2411 80 13 5390
AMHERST 5672 251 41 11041
APPOMATTOX 2418 119 29 6702
ARLINGTON 105344 1836 1241 22318
AUGUSTA 10840 608 116 30714
BATH 646 16 5 1834
BEDFORD 12176 708 185 35600
BLAND 532 40 4 2903
BOTETOURT 5700 264 60 15099
"BRISTOL CITY" 2313 125 29 5347
BRUNSWICK 4552 34 5 3357
BUCHANAN 1587 44 15 8311
BUCKINGHAM 3471 93 21 4544
"BUENA VISTA CITY" 825 72 16 1863
CAMPBELL 8070 490 96 21245
CAROLINE 7657 259 36 8336
CARROLL 2842 118 38 12659
"CHARLES CITY" 2624 54 2 1761
CHARLOTTE 2317 48 11 3815
"CHARLOTTESVILLE CITY" 20696 311 112 3094
"CHESAPEAKE CITY" 66377 2098 591 58180
CHESTERFIELD 106935 2927 767 93326
CLARKE 3920 178 47 5192
"COLONIAL HEIGHTS CITY" 2972 135 46 6007
"COVINGTON CITY" 964 50 9 1580
CRAIG 587 40 7 2536
CULPEPER 10617 406 81 16012
CUMBERLAND 2227 53 14 3019
"DANVILLE CITY" 11710 195 123 7428
DICKENSON 1503 44 12 5748
DINWIDDIE 6224 144 29 8695
"EMPORIA CITY" 1612 13 5 754
ESSEX 3038 58 7 3075
FAIRFAX 419943 8014 4885 168401
"FAIRFAX CITY" 9174 201 105 4007
"FALLS CHURCH CITY" 7146 114 69 1490
FAUQUIER 17565 777 223 25106
FLOYD 3004 147 36 6225
FLUVANNA 7414 226 51 8155
FRANKLIN 8381 354 74 20895
"FRANKLIN CITY" 2525 35 17 1487
FREDERICK 17207 781 172 30558
"FREDERICKSBURG CITY" 8517 240 83 4037
"GALAX CITY" 777 18 6 1838
GILES 2156 125 21 6876
GLOUCESTER 6964 389 56 14875
GOOCHLAND 6685 242 59 9966
GRAYSON 1535 56 11 6529
GREENE 4163 241 43 6866
GREENSVILLE 2627 23 10 1914
HALIFAX 7666 140 24 10418
"HAMPTON CITY" 46220 1006 301 18430
HANOVER 25307 1103 260 44318
"HARRISONBURG CITY" 11022 364 116 5591
HENRICO 116572 2414 873 63440
HENRY 9127 223 30 16725
HIGHLAND 417 22 2 1092
"HOPEWELL CITY" 5430 131 47 4020
"ISLE OF WIGHT" 9399 328 22 13707
"JAMES CITY" 25553 710 223 23153
"KING AND QUEEN" 1590 64 11 2450
"KING GEORGE" 5404 314 63 8446
"KING WILLIAM" 3260 142 15 7320
LANCASTER 3368 71 16 3697
LEE 1489 78 15 8365
"LEXINGTON CITY" 1791 48 19 906
LOUDOUN 138372 3139 1377 82088
LOUISA 8269 295 58 13294
LUNENBURG 2418 40 7 3537
"LYNCHBURG CITY" 18048 857 362 17097
MADISON 2698 106 29 5300
"MANASSAS CITY" 10356 280 86 6256
"MANASSAS PARK CITY" 3992 100 17 1979
"MARTINSVILLE CITY" 3766 73 20 2165
MATHEWS 1825 87 16 3901
MECKLENBURG 6803 113 25 9266
MIDDLESEX 2491 77 21 4196
MONTGOMERY 23218 942 248 20629
NELSON 4327 150 29 4812
"NEW KENT" 4621 172 47 9631
"NEWPORT NEWS CITY" 53099 1438 356 26377
"NORFOLK CITY" 64440 1608 497 23443
NORTHAMPTON 3667 100 10 2955
NORTHUMBERLAND 3252 56 22 4485
"NORTON CITY" 464 21 7 1109
NOTTOWAY 2971 72 8 4027
ORANGE 7995 267 66 12426
PAGE 3007 134 28 9345
PATRICK 1954 81 15 7485
"PETERSBURG CITY" 12389 108 52 1584
PITTSYLVANIA 10115 285 76 23751
"POQUOSON CITY" 2054 160 38 5605
"PORTSMOUTH CITY" 30948 723 175 12755
POWHATAN 5320 321 37 14055
"PRINCE EDWARD" 4973 136 32 4434
"PRINCE GEORGE" 7103 195 38 10103
"PRINCE WILLIAM" 142863 3242 940 81222
PULASKI 4925 275 59 12127
"RADFORD CITY" 3358 145 31 2786
RAPPAHANNOCK 2096 56 15 2812
RICHMOND 1513 31 11 2547
"RICHMOND CITY" 92175 1691 712 16603
ROANOKE 21801 910 247 34268
"ROANOKE CITY" 26773 777 166 15607
ROCKBRIDGE 4086 165 38 8088
ROCKINGHAM 12644 653 175 30349
RUSSELL 2373 116 18 10879
"SALEM CITY" 5148 220 0 7683
SCOTT 1692 90 24 9063
SHENANDOAH 6836 346 39 16463
SMYTH 3008 133 32 10963
SOUTHAMPTON 3969 87 0 5730
SPOTSYLVANIA 34307 1301 298 39411
STAFFORD 40245 1376 372 37636
"STAUNTON CITY" 6981 249 67 5695
"SUFFOLK CITY" 28676 724 160 20082
SURRY 2397 40 9 2025
SUSSEX 2827 35 7 2219
TAZEWELL 3205 159 57 16731
"VIRGINIA BEACH CITY" 117393 4208 1029 105087
WARREN 6603 365 110 14069
WASHINGTON 6617 304 93 21679
"WAYNESBORO CITY" 4961 209 40 5507
WESTMORELAND 4501 90 39 5318
"WILLIAMSBURG CITY" 4790 92 45 1963
"WINCHESTER CITY" 6610 213 69 5221
WISE 3110 108 31 13366
WYTHE 3143 170 27 11733
YORK 17683 680 187 20241
