COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADDISON 15089 69 248 638 6567
BENNINGTON 11858 74 188 513 6724
CALEDONIA 8529 64 150 491 5924
CHITTENDEN 72938 364 853 2496 20104
ESSEX 1890 12 48 123 2164
FRANKLIN 13612 59 335 792 11274
"GRAND ISLE" 3346 13 47 182 2194
LAMOILLE 10773 50 177 508 4171
ORANGE 8351 52 152 539 5782
ORLEANS 7757 37 145 417 7086
RUTLAND 18746 89 347 965 14625
WASHINGTON 25101 156 324 1037 8707
WINDHAM 20057 143 247 754 7251
WINDSOR 24779 128 347 919 10135
