COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ADAMS 1406 85 43 3440
ASOTIN 2736 215 125 4909
BENTON 19512 1102 794 38367
CHELAN 8412 850 327 16980
CLALLAM 13779 1603 597 16251
CLARK 61767 5140 1404 67219
COLUMBIA 515 45 23 1523
COWLITZ 18233 1429 422 16873
DOUGLAS 3822 339 178 8512
FERRY 932 117 92 1896
FRANKLIN 4653 210 155 8594
GARFIELD 300 35 12 982
GRANT 7073 528 364 15830
"GRAYS HARBOR" 13304 1059 382 11225
ISLAND 14778 1484 333 16408
JEFFERSON 8281 1241 215 6095
KING 476700 37383 6824 273171
KITSAP 50302 4607 1521 46427
KITTITAS 5516 644 199 7727
KLICKITAT 3062 396 165 4557
LEWIS 9891 980 547 18565
LINCOLN 1417 160 73 3546
MASON 10876 1029 317 10257
OKANOGAN 4335 722 355 9384
PACIFIC 4895 447 134 4042
"PEND OREILLE" 1973 234 154 3076
PIERCE 138249 8749 3465 118431
"SAN JUAN" 4426 875 118 3005
SKAGIT 20432 2070 555 22163
SKAMANIA 1753 252 92 2151
SNOHOMISH 129612 9023 3055 109615
SPOKANE 74604 6250 1936 89299
STEVENS 5560 700 436 11299
THURSTON 50467 5792 1224 39924
WAHKIAKUM 803 97 38 1033
"WALLA WALLA" 7188 624 246 13304
WHATCOM 34033 4502 930 34287
WHITMAN 6509 530 192 9003
YAKIMA 25546 1454 881 39494
