COUNTY DEM OTH REP
COUNTY Obama_D Other_O Romney_R
ADAMS 1540 82 3171
ASOTIN 4003 244 5654
BENTON 28145 1953 49461
CHELAN 13112 736 18402
CLALLAM 18580 1049 18437
CLARK 93382 4472 92951
COLUMBIA 645 46 1568
COWLITZ 22726 1148 20746
DOUGLAS 5166 351 9425
FERRY 1294 151 1995
FRANKLIN 8398 497 13748
GARFIELD 336 29 913
GRANT 8950 756 17852
"GRAYS HARBOR" 15960 810 11914
ISLAND 21478 1016 19605
JEFFERSON 12739 685 6405
KING 668004 23450 275700
KITSAP 67277 3244 52846
KITTITAS 7949 440 9782
KLICKITAT 4598 360 5316
LEWIS 12664 928 20452
LINCOLN 1673 136 4063
MASON 14764 710 12761
OKANOGAN 7108 517 9221
PACIFIC 5711 314 4499
"PEND OREILLE" 2508 208 3952
PIERCE 186430 8013 148467
"SAN JUAN" 7125 358 3111
SKAGIT 28688 1510 25071
SKAMANIA 2628 151 2687
SNOHOMISH 188516 8285 133016
SPOKANE 102295 6250 115285
STEVENS 7762 708 13691
THURSTON 74037 3739 49287
WAHKIAKUM 1094 81 1119
"WALLA WALLA" 9768 692 14648
WHATCOM 57089 3237 42703
WHITMAN 8037 577 8507
YAKIMA 33217 1517 42239
