COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAMS 1814 18 82 41 3907
ASOTIN 4250 36 260 86 7319
BENTON 38706 354 2706 902 60365
CHELAN 19349 156 709 346 22746
CLALLAM 24721 241 894 346 23062
CLARK 140324 1126 5320 2330 126303
COLUMBIA 668 5 51 17 1754
COWLITZ 23938 243 1274 401 34424
DOUGLAS 7811 57 335 150 12955
FERRY 1486 10 76 24 2771
FRANKLIN 13340 110 683 232 18039
GARFIELD 366 2 42 10 1069
GRANT 11819 112 710 275 24764
"GRAYS HARBOR" 17354 200 764 246 19877
ISLAND 29213 216 1288 462 22746
JEFFERSON 17204 146 330 181 6931
KING 907310 5662 18148 10220 269167
KITSAP 90277 723 4813 1296 61563
KITTITAS 11421 101 540 197 14105
KLICKITAT 5959 50 211 103 7237
LEWIS 14520 177 927 294 29391
LINCOLN 1713 15 111 44 5150
MASON 17269 175 888 261 18710
OKANOGAN 8900 81 290 171 11840
PACIFIC 6794 46 201 70 6953
"PEND OREILLE" 2593 31 147 54 5728
PIERCE 249506 2126 10495 4224 197730
"SAN JUAN" 9725 73 210 132 3057
SKAGIT 38252 287 1492 630 32762
SKAMANIA 3192 28 153 54 3885
SNOHOMISH 256728 2003 9690 3947 166428
SPOKANE 135765 1297 7147 2645 148576
STEVENS 7839 77 527 179 19808
THURSTON 96608 979 3708 1562 65277
WAHKIAKUM 1165 19 45 11 1741
"WALLA WALLA" 13690 132 769 270 16400
WHATCOM 83660 726 2490 1255 50489
WHITMAN 11184 128 549 198 9067
YAKIMA 43179 321 1425 713 50555
