COUNTY DISTRICT DEM REP OTH
COUNTY TOT DEM REP OTH
KENOSHA 1 38337 48524 91
MILWAUKEE 1 23566 32032 29
RACINE 1 45091 59331 92
ROCK 1 21871 20845 33
WALWORTH 1 18057 34497 34
WAUKESHA 1 16248 43042 34
DANE 2 253784 83066 314
GREEN 2 11060 9874 12
IOWA 2 8063 5595 6
LAFAYETTE 2 3836 4454 2
RICHLAND 2 786 962 0
ROCK 2 22604 17296 42
SAUK 2 18390 17059 0
ADAMS 3 4639 6910 5
BUFFALO 3 3457 4282 4
CHIPPEWA 3 10332 10587 3
CRAWFORD 3 4551 4055 0
DUNN 3 10667 12616 0
"EAU CLAIRE" 3 33210 24260 42
GRANT 3 11967 13114 12
JACKSON 3 4508 4507 0
JUNEAU 3 4063 5957 13
"LA CROSSE" 3 40504 26698 57
MONROE 3 8684 11001 19
PEPIN 3 1682 2425 0
PIERCE 3 10208 12871 6
PORTAGE 3 21626 18276 31
RICHLAND 3 3513 3588 3
TREMPEALEAU 3 7154 8086 11
VERNON 3 8557 7260 6
WOOD 3 10548 13031 12
MILWAUKEE 4 232668 70769 8260
WAUKESHA 4 0 0 0
DODGE 5 6310 15293 0
JEFFERSON 5 19282 27605 46
MILWAUKEE 5 45404 34243 67
WALWORTH 5 2438 1750 9
WASHINGTON 5 24841 62039 0
WAUKESHA 5 77627 124504 141
COLUMBIA 6 15837 16971 24
DODGE 6 9709 16175 0
"FOND DU LAC" 6 20191 36176 0
"GREEN LAKE" 6 3218 7313 11
MANITOWOC 6 16164 27663 24
MARQUETTE 6 3211 5692 4
MILWAUKEE 6 686 627 1
OZAUKEE 6 24272 36259 41
SHEBOYGAN 6 25993 38901 46
WAUSHARA 6 4342 9033 0
WINNEBAGO 6 40616 44064 69
ASHLAND 7 4795 3746 4
BARRON 7 9119 15936 5
BAYFIELD 7 6107 4589 0
BURNETT 7 3499 6497 0
CHIPPEWA 7 4751 9722 1
CLARK 7 4672 9968 7
DOUGLAS 7 13266 10962 21
FLORENCE 7 752 2149 0
FOREST 7 1777 3212 2
IRON 7 1542 2396 2
JACKSON 7 326 764 0
JUNEAU 7 1040 2403 2
LANGLADE 7 3676 7413 0
LINCOLN 7 6129 10123 0
MARATHON 7 29770 46096 74
MONROE 7 796 1839 6
ONEIDA 7 9979 13877 23
POLK 7 9271 16701 0
PRICE 7 3116 5327 0
RUSK 7 2553 5172 2
SAWYER 7 4448 5917 5
"ST. CROIX" 7 22354 33296 45
TAYLOR 7 2683 7843 1
VILAS 7 5761 9499 4
WASHBURN 7 3846 6385 6
WOOD 7 6713 10216 8
BROWN 8 55344 87044 60
CALUMET 8 10303 20138 3
DOOR 8 8778 11255 7
KEWAUNEE 8 3413 8614 10
MARINETTE 8 6275 16514 0
MENOMINEE 8 1110 411 0
OCONTO 8 5644 17375 0
OUTAGAMIE 8 41690 64985 0
SHAWANO 8 6379 15970 0
WAUPACA 8 8459 20252 24
WINNEBAGO 8 2163 5615 3
