COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ADAMS 5806 206 3974
ASHLAND 5818 122 2634
BARRON 12078 351 10457
BAYFIELD 5972 131 3365
BROWN 67269 1631 55854
BUFFALO 3949 128 2923
BURNETT 4337 151 4200
CALUMET 13295 457 12722
CHIPPEWA 16239 500 13492
CLARK 7454 350 6383
COLUMBIA 16661 418 12193
CRAWFORD 4987 164 2830
DANE 205984 3890 73065
DODGE 19183 625 23015
DOOR 10142 227 7112
DOUGLAS 15830 401 7835
DUNN 13002 421 9566
"EAU CLAIRE" 33146 905 20959
FLORENCE 1134 39 1512
"FOND DU LAC" 23463 696 28164
FOREST 2673 47 1963
GRANT 14875 377 9068
GREEN 11502 302 6730
"GREEN LAKE" 4000 143 5393
IOWA 7987 153 3829
IRON 1914 54 1464
JACKSON 5572 127 3552
JEFFERSON 21448 622 21096
JUNEAU 6186 196 5148
KENOSHA 45836 1344 31609
KEWAUNEE 5902 174 4711
"LA CROSSE" 38524 993 23701
LAFAYETTE 4732 115 2984
LANGLADE 5182 139 5081
LINCOLN 8424 325 6519
MANITOWOC 22428 752 19234
MARATHON 36367 1228 30345
MARINETTE 11195 334 9726
MARQUETTE 4068 124 3654
MENOMINEE 1257 6 185
MILWAUKEE 319819 5928 149445
MONROE 10198 288 8666
OCONTO 9927 286 8755
ONEIDA 11907 390 9630
OUTAGAMIE 50294 1592 39677
OZAUKEE 20579 614 32172
PEPIN 2102 53 1616
PIERCE 11803 492 9812
POLK 10876 485 11282
PORTAGE 24817 795 13810
PRICE 4559 174 3461
RACINE 53408 1280 45954
RICHLAND 5041 111 3298
ROCK 50529 1276 27364
RUSK 3855 164 3253
SAUK 18617 447 11562
SAWYER 4765 121 4199
SHAWANO 10259 292 9538
SHEBOYGAN 30395 911 30801
"ST. CROIX" 21177 807 22837
TAYLOR 4563 197 4586
TREMPEALEAU 8321 185 4808
VERNON 8463 245 5367
VILAS 6491 204 7055
WALWORTH 24177 760 25485
WASHBURN 4693 116 4303
WASHINGTON 25719 963 47729
WAUKESHA 85339 2406 145152
WAUPACA 12952 327 12232
WAUSHARA 5868 211 5770
WINNEBAGO 48167 1564 37946
WOOD 21710 761 16581
