COUNTY DEM GRN LIB OTH REP
COUNTY Biden_D Other_G Jorgensen_L Other_O Trump_R
ADAMS 4329 1 85 41 7362
ASHLAND 4801 6 70 39 3841
BARRON 9194 13 262 74 15803
BAYFIELD 6147 7 80 29 4617
BROWN 65511 33 1829 773 75871
BUFFALO 2860 0 80 42 4834
BURNETT 3569 1 86 23 6462
CALUMET 12116 6 363 133 18156
CHIPPEWA 13983 5 501 132 21317
CLARK 4524 2 168 202 10002
COLUMBIA 16410 15 421 96 16927
CRAWFORD 3953 0 92 30 4620
DANE 260185 216 3668 1922 78800
DODGE 16356 11 535 179 31355
DOOR 10044 10 231 80 9752
DOUGLAS 13218 1 379 156 10923
DUNN 9897 11 368 75 13173
"EAU CLAIRE" 31620 21 925 368 25341
FLORENCE 781 0 22 4 2133
"FOND DU LAC" 20588 17 686 206 35754
FOREST 1721 0 35 12 3285
GRANT 10998 10 350 108 14142
GREEN 10851 10 271 105 10169
"GREEN LAKE" 3344 1 110 48 7168
IOWA 7828 4 161 90 5909
IRON 1533 1 26 12 2438
JACKSON 4256 1 111 25 5791
JEFFERSON 19904 9 634 224 27208
JUNEAU 4746 2 146 66 8749
KENOSHA 42193 35 1037 501 44972
KEWAUNEE 3976 5 127 60 7927
"LA CROSSE" 37846 20 877 457 28684
LAFAYETTE 3647 4 57 26 4821
LANGLADE 3704 3 94 34 7330
LINCOLN 6261 0 175 44 10017
MANITOWOC 16818 10 553 230 27218
MARATHON 30808 13 929 377 44624
MARINETTE 7366 5 237 67 15304
MARQUETTE 3239 2 78 27 5719
MENOMINEE 1303 0 6 3 278
MILWAUKEE 317270 214 4340 2790 134357
MONROE 8433 3 263 137 13775
OCONTO 6715 2 210 62 16226
ONEIDA 10105 3 283 97 13671
OUTAGAMIE 47667 34 1569 367 58385
OZAUKEE 26517 19 647 391 33912
PEPIN 1489 2 51 18 2584
PIERCE 9796 5 383 318 12815
POLK 9370 11 289 90 16611
PORTAGE 20428 31 640 205 19299
PRICE 3032 1 98 21 5394
RACINE 50159 43 1200 570 54479
RICHLAND 3995 0 102 46 4871
ROCK 46658 14 1094 456 37138
RUSK 2517 0 85 27 5257
SAUK 18108 15 441 146 17493
SAWYER 4498 1 62 40 5909
SHAWANO 7131 3 253 55 15173
SHEBOYGAN 27101 2 896 403 37609
"ST. CROIX" 23190 13 878 427 32199
TAYLOR 2693 1 113 222 7657
TREMPEALEAU 6285 3 177 82 8833
VERNON 7457 6 182 60 8218
VILAS 5903 0 138 67 9261
WALWORTH 22789 15 641 304 33851
WASHBURN 3867 4 123 50 6334
WASHINGTON 26650 28 941 214 60237
WAUKESHA 103906 54 3023 1364 159649
WAUPACA 9703 4 357 114 18952
WAUSHARA 4388 0 115 49 9016
WINNEBAGO 44060 38 1629 509 47796
WOOD 16365 9 403 213 24308
