COUNTY REP DEM OTHER
COUNTY REP DEM OTHER
Adams 6202 3644 48
Ashland 3075 3901 8
Barron 12928 7121 19
Bayfield 4082 5184 3
Brown 62219 51417 237
Buffalo 3907 2201 13
Burnett 5363 2835 0
Calumet 15459 9444 41
Chippewa 17683 11069 22
Clark 8181 3450 1
Columbia 13899 13400 64
Crawford 3797 3179 0
Dane 68194 231735 675
Dodge 25914 12830 91
Door 8685 8610 23
Douglas 8373 10267 21
Dunn 8356 4737 17
"Eau Claire" 21205 26524 114
Florence 1898 620 0
"Fond du Lac" 30582 15979 75
Forest 2783 1371 6
Grant 11397 8670 35
Green 8350 9097 33
"Green Lake" 6061 2626 7
Iowa 5082 6514 20
Iron 2069 1197 0
Jackson 4700 3288 0
Jefferson 22400 16167 64
Juneau 6944 3782 20
Kenosha 34389 31368 155
Kewaunee 6627 3273 0
"La Crosse" 24412 30693 115
Lafayette 3778 2787 0
Langlade 6190 2818 0
Lincoln 8533 4917 29
Manitowoc 22561 13286 8
Marathon 37525 23904 100
Marinette 12676 5815 0
Marquette 4753 2589 11
Menominee 257 833 0
Milwaukee 103667 243912 756
Monroe 10798 6452 48
Oconto 13888 5501 49
Oneida 11866 8278 0
Outagamie 47805 37921 202
Ozaukee 30208 21953 127
Pepin 2122 1177 1
Pierce 10313 7709 21
Polk 13138 7312 37
Portage 16358 17185 50
Price 4584 2459 2
Racine 44185 37221 216
Richland 3827 3173 9
Rock 28757 36032 160
Rusk 4327 2054 0
Sauk 14288 14617 61
Sawyer 5001 3631 14
Shawano 12414 5533 0
Sheboygan 32057 21349 126
"St. Croix" 26142 17826 52
Taylor 6407 2130 7
Trempealeau 7329 4922 10
Vernon 6914 6189 10
Vilas 8349 4801 24
Walworth 27990 17820 112
Washburn 5277 3074 4
Washington 52395 21556 162
Waukesha 140142 83398 422
Waupaca 15521 7647 1
Waushara 7759 3565 4
Winnebago 39371 34860 185
Wood 19997 12913 0
