COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
BARBOUR 2503 89 48 3411
BERKELEY 8797 414 180 13619
BOONE 5656 84 48 3353
BRAXTON 2719 47 33 2529
BROOKE 4678 228 304 4195
CABELL 14896 605 275 16440
CALHOUN 1112 63 15 1425
CLAY 1617 50 28 1887
DODDRIDGE 773 68 20 1955
FAYETTE 8371 239 112 5897
GILMER 1092 66 22 1560
GRANT 891 39 33 3571
GREENBRIER 5627 235 80 6866
HAMPSHIRE 2069 97 52 3879
HANCOCK 6249 329 436 6458
HARDY 1621 44 33 2816
HARRISON 13009 427 194 12948
JACKSON 4937 166 74 6341
JEFFERSON 6860 359 114 7045
KANAWHA 38524 948 389 36809
LEWIS 2355 114 59 3606
LINCOLN 3939 84 52 3389
LOGAN 8927 88 90 5334
MARION 12315 418 168 9972
MARSHALL 6000 316 323 6859
MASON 4963 195 93 5972
MCDOWELL 4845 67 43 2348
MERCER 8347 227 95 10206
MINERAL 3341 186 75 6180
MINGO 6049 74 54 3866
MONONGALIA 12603 942 227 13595
MONROE 2094 78 27 2940
MORGAN 1939 148 46 3639
NICHOLAS 4059 111 50 4359
OHIO 7653 390 314 9607
PENDLETON 1172 37 16 1996
PLEASANTS 1267 26 31 1884
POCAHONTAS 1392 69 36 1970
PRESTON 3515 209 108 6607
PUTNAM 7891 251 111 12173
RALEIGH 11047 299 128 12587
RANDOLPH 4028 199 67 5248
RITCHIE 1024 47 24 2717
ROANE 2332 95 26 3172
SUMMERS 2299 81 29 2304
TAYLOR 2473 82 33 3124
TUCKER 1319 50 42 1935
TYLER 1214 80 52 2582
UPSHUR 2770 130 58 5165
WAYNE 7940 182 126 7993
WEBSTER 1764 35 25 1484
WETZEL 2849 104 96 3239
WIRT 818 21 25 1518
WOOD 12664 582 183 20428
WYOMING 4289 66 50 3473
