COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
BARBOUR 2419 128 3685
BERKELEY 15994 457 20841
BOONE 4529 209 3632
BRAXTON 2704 76 2629
BROOKE 4717 179 4961
CABELL 15292 507 18793
CALHOUN 993 70 1366
CLAY 1421 89 1755
DODDRIDGE 735 65 2218
FAYETTE 7242 294 7658
GILMER 1004 72 1445
GRANT 997 55 3166
GREENBRIER 5881 284 7567
HAMPSHIRE 2983 142 5222
HANCOCK 5504 198 7518
HARDY 1901 130 3376
HARRISON 13582 466 17824
JACKSON 4861 227 7148
JEFFERSON 11687 258 10600
KANAWHA 40594 938 40952
LEWIS 2109 162 4335
LINCOLN 3029 169 3637
LOGAN 5873 266 7326
MARION 11618 488 11501
MARSHALL 5996 246 7759
MASON 4484 266 5853
MCDOWELL 3430 118 2882
MERCER 7450 326 13246
MINERAL 3750 181 7616
MINGO 3582 169 4587
MONONGALIA 17060 544 15775
MONROE 2014 164 3397
MORGAN 2721 127 4428
NICHOLAS 4357 200 4804
OHIO 8593 253 10694
PENDLETON 1310 50 2035
PLEASANTS 1142 61 1772
POCAHONTAS 1548 83 2011
PRESTON 4205 266 7325
PUTNAM 9334 284 15162
RALEIGH 10237 474 17548
RANDOLPH 4539 234 6060
RITCHIE 998 67 2781
ROANE 2511 109 2943
SUMMERS 2290 135 2891
TAYLOR 2462 136 3605
TUCKER 1288 96 2123
TYLER 1241 85 2415
UPSHUR 2925 135 5911
WAYNE 6137 346 8947
WEBSTER 1552 119 1386
WETZEL 2942 170 3342
WIRT 782 48 1496
WOOD 12573 533 22896
WYOMING 2735 174 4621
