COUNTY DEM GRN OTH REP
COUNTY Gore_D Nader_G Other_O Bush_R
ALBANY 5069 988 280 7814
"BIG HORN" 1004 40 154 3720
CAMPBELL 1967 86 284 10203
CARBON 2206 105 159 4498
CONVERSE 1076 32 148 3919
CROOK 361 32 56 2289
FREMONT 4172 304 408 10560
GOSHEN 1439 27 132 3922
"HOT SPRINGS" 544 13 62 1733
JOHNSON 555 33 76 2886
LARAMIE 12162 608 756 21797
LINCOLN 1184 83 163 5415
"NATRONA" 8646 590 713 18439
NIOBRARA 190 16 33 888
PARK 2424 227 301 9884
PLATTE 1249 69 130 2925
SHERIDAN 3330 208 274 8424
SUBLETTE 458 47 87 2624
SWEETWATER 5521 222 523 9425
TETON 4019 764 194 5454
UINTA 1650 76 223 5469
WASHAKIE 806 29 78 3138
WESTON 449 26 64 2521
