COUNTY DEM OTH REP
COUNTY Obama_D Other_O Mccain_R
ALBANY 8644 621 7936
"BIG HORN" 1108 188 4045
CAMPBELL 2990 384 13011
CARBON 2336 233 4331
CONVERSE 1380 199 4922
CROOK 612 127 2967
FREMONT 6016 616 11083
GOSHEN 1832 191 3942
"HOT SPRINGS" 619 111 1834
JOHNSON 908 133 3334
LARAMIE 16072 1185 24549
LINCOLN 1823 307 6485
"NATRONA" 10475 1092 21906
NIOBRARA 244 43 1017
PARK 3757 453 10839
PLATTE 1407 188 3002
SHERIDAN 4458 404 10177
SUBLETTE 936 123 3316
SWEETWATER 5762 711 10360
TETON 7472 322 4565
UINTA 2317 338 5763
WASHAKIE 1042 102 2956
WESTON 658 138 2618
