COUNTY DEM LIB OTH REP
COUNTY Biden_D Jorgensen_L Other_O Trump_R
ALBANY 9092 595 478 8579
"BIG HORN" 788 74 116 4806
CAMPBELL 1935 434 391 16975
CARBON 1427 142 123 5014
CONVERSE 861 121 111 5917
CROOK 378 57 57 3651
FREMONT 5519 321 387 12007
GOSHEN 1203 86 105 4878
"HOT SPRINGS" 482 61 46 1999
JOHNSON 897 86 88 3881
LARAMIE 15217 1063 1066 27891
LINCOLN 1509 167 206 8643
"NATRONA" 8530 895 695 25271
NIOBRARA 155 21 28 1118
PARK 3410 282 310 12813
PLATTE 890 65 110 3898
SHERIDAN 4043 339 321 11843
SUBLETTE 882 71 90 3957
SWEETWATER 3823 350 296 12229
TETON 9848 255 343 4341
UINTA 1591 172 200 7496
WASHAKIE 651 65 71 3245
WESTON 360 46 47 3107
