Search Results: 2022 
FIPS code,State,Jurisdiction,Precincts,Total Registration,Marking Method
"0100100000","Alabama","Autauga County","20","43695","Hand marked paper ballots and BMDs",
"0100300000","Alabama","Baldwin County","52","176668","Hand marked paper ballots and BMDs",
"0100500000","Alabama","Barbour County","18","17850","Hand marked paper ballots and BMDs",
"0100700000","Alabama","Bibb County","10","15014","Hand marked paper ballots and BMDs",
"0100900000","Alabama","Blount County","26","41927","Hand marked paper ballots and BMDs",
"0101100000","Alabama","Bullock County","17","7457","Hand marked paper ballots and BMDs",
"0101300000","Alabama","Butler County","24","14646","Hand marked paper ballots and BMDs",
"0101500000","Alabama","Calhoun County","46","81674","Hand marked paper ballots and BMDs",
"0101700000","Alabama","Chambers County","18","26077","Hand marked paper ballots and BMDs",
"0101900000","Alabama","Cherokee County","25","19469","Hand marked paper ballots and BMDs",
"0102100000","Alabama","Chilton County","20","29873","Hand marked paper ballots and BMDs",
"0102300000","Alabama","Choctaw County","34","11033","Hand marked paper ballots and BMDs",
"0102500000","Alabama","Clarke County","31","19676","Hand marked paper ballots and BMDs",
"0102700000","Alabama","Clay County","17","10468","Hand marked paper ballots and BMDs",
"0102900000","Alabama","Cleburne County","16","11516","Hand marked paper ballots and BMDs",
"0103100000","Alabama","Coffee County","31","37163","Hand marked paper ballots and BMDs",
"0103300000","Alabama","Colbert County","36","43748","Hand marked paper ballots and BMDs",
"0103500000","Alabama","Conecuh County","29","10413","Hand marked paper ballots and BMDs",
"0103700000","Alabama","Coosa County","14","8403","Hand marked paper ballots and BMDs",
"0103900000","Alabama","Covington County","27","28338","Hand marked paper ballots and BMDs",
"0104100000","Alabama","Crenshaw County","20","10619","Hand marked paper ballots and BMDs",
"0104300000","Alabama","Cullman County","51","62707","Hand marked paper ballots and BMDs",
"0104500000","Alabama","Dale County","21","35835","Hand marked paper ballots and BMDs",
"0104700000","Alabama","Dallas County","31","31849","Hand marked paper ballots and BMDs",
"0104900000","Alabama","DeKalb County","46","45221","Hand marked paper ballots and BMDs",
"0105100000","Alabama","Elmore County","31","60857","Hand marked paper ballots and BMDs",
"0105300000","Alabama","Escambia County","31","27240","Hand marked paper ballots and BMDs",
"0105500000","Alabama","Etowah County","33","76054","Hand marked paper ballots and BMDs",
"0105700000","Alabama","Fayette County","28","13043","Hand marked paper ballots and BMDs",
"0105900000","Alabama","Franklin County","26","19744","Hand marked paper ballots and BMDs",
"0106100000","Alabama","Geneva County","23","20112","Hand marked paper ballots and BMDs",
"0106300000","Alabama","Greene County","16","7045","Hand marked paper ballots and BMDs",
"0106500000","Alabama","Hale County","16","12561","Hand marked paper ballots and BMDs",
"0106700000","Alabama","Henry County","16","14070","Hand marked paper ballots and BMDs",
"0106900000","Alabama","Houston County","29","80366","Hand marked paper ballots and BMDs",
"0107100000","Alabama","Jackson County","32","39655","Hand marked paper ballots and BMDs",
"0107300000","Alabama","Jefferson County","175","505586","Hand marked paper ballots and BMDs",
"0107500000","Alabama","Lamar County","27","11213","Hand marked paper ballots and BMDs",
"0107700000","Alabama","Lauderdale County","33","68218","Hand marked paper ballots and BMDs",
"0107900000","Alabama","Lawrence County","31","25471","Hand marked paper ballots and BMDs",
"0108100000","Alabama","Lee County","24","124082","Hand marked paper ballots and BMDs",
"0108300000","Alabama","Limestone County","27","71614","Hand marked paper ballots and BMDs",
